Release,NamespacePrefix,LocalTerm,Literal,Definition
5.0,cbrn,milliroentgen,,"A unit of exposure to ionizing radiation, one thousandth of a roentgen."
5.0,cbrn,MIME,Multipurpose Internet Mail Extensions,
5.0,cbrn,mR,milliroentgen,
5.0,cbrn,mRh,milliroentgen per hour (mR/h),
5.0,cbrn,N42,,The ANSI/IEEE N42.42 standard specifies the XML data format that shall be used for both required and optional data to be made available by radiation measurement instruments.
5.0,cbrn,n42Doc,N42 XML document,
5.0,cbrn,Reachback,,"A process by which commanders, their staffs and deployed forces may be provided with timely, coordinated and authoritative advice on Chemical, Biological, Radiological and Nuclear issues, drawing upon remote expert sources of information."
5.0,cbrn,UID,Unique Identifier,
5.0,cbrn,uSv,microsieverts,
5.0,cbrn,uSvh,microsieverts per hour (uSv/h),
5.0,cbrn,UTF8,UCS Transformation Format—8-bit,
5.0,cbrn,UUID,Universally Unique Identifier,
5.0,cbrn,WGS-84,,The standard U.S. Department of Defense definition of a global reference system for geospatial information and the reference system for the Global Positioning System (GPS).
5.0,cbrn,X,The first dimension,
5.0,cbrn,XY,A two dimensional array or pair of values for a data point,
5.0,cbrncl,CBRN,"Chemical, Biological, Radiological and Nuclear",
5.0,cbrncl,CFR,,Code of Federal Regulations
5.0,cbrncl,GNDA,Global Nuclear Detection Architecture,
5.0,cbrncl,MIME,Multipurpose Internet Mail Extensions,
5.0,cbrncl,Reachback,,"A process by which commanders, their staffs and deployed forces may be provided with timely, coordinated and authoritative advice on Chemical, Biological, Radiological and Nuclear issues, drawing upon remote expert sources of information."
5.0,cbrncl,UNECE,United Nations Economic Commission for Europe,
5.0,cbrncl,W3C,World Wide Web Consortium,
5.0,commodity,CFS,Commodity Flow Survey,
5.0,commodity,SCTG,Standard Classification of Transported Goods,
5.0,cui,CUI,Controlled Unclassified Information,
5.0,cui,DLONLY,Dissemination List Controlled Only,
5.0,cui,LDC,Limited Dissemination Control,
5.0,cui,RELTO,Releasable To,
5.0,edxl_rm,EDXL,Emergency Data Exchange Language,
5.0,edxl-have,EDXL,Emergency Data Exchange Language,
5.0,edxl-have,HAVE,Hospital Availability Exchange,
5.0,em,Cat-C,,FEMA Category C: Roads and Bridges
5.0,em,Cat-D,,FEMA Category D: Water Control Facilities
5.0,em,Cat-E,,FEMA Category E: Buildings and Equipment
5.0,em,Cat-F,,FEMA Category F: Utilities
5.0,em,CATG,,"FEMA Category G: Parks, Recreation, and Other"
5.0,em,Cat-G,,"FEMA Category G: Parks, Recreation, and Other"
5.0,em,Decon,Decontamination,
5.0,em,EMS,Emergency Medical Service,
5.0,em,EOC,Emergency Operations Center,
5.0,em,EPM,Emergency Protective Measures,
5.0,em,ESF,Emergency Support Function,
5.0,em,FEMA,Federal Emergency Management Agency,
5.0,em,FIPS,Federal Information Processing Standards,
5.0,em,FIPS201,,FIPS 201 is a United States federal government standard that specifies Personal Identity Verification requirements for Federal employees and contractors.
5.0,em,Geo,geo-coded,
5.0,em,ICD,International Classification of Diseases,
5.0,em,IEC,International Electrotechnical Commission,
5.0,em,IMS,Incident Management System,
5.0,em,LCR,"License, certificate or registration",
5.0,em,MF,Multi-family,
5.0,em,MH,Manufactured home,
5.0,em,NIST,National Institute of Standards and Technology,
5.0,em,NISTSP800733,,NIST Special Publication 800-73-3 Interfaces for Personal Identity Verification
5.0,em,NPI,National Provider ID,
5.0,em,NRCS,Natural Resources Conservation Service,
5.0,em,OBGYN,Obstetrics & Gynecology,
5.0,em,Passcode,,A numeric password.
5.0,em,PHEOC,Public Health Emergency Operations Centers,
5.0,em,PIV,Personal Identity Verification,
5.0,em,PSAP,Public Safety Answering Point,
5.0,em,RGB,Red Green Blue,
5.0,em,SOP,Standard Operating Procedures,
5.0,em,SP,Special Publication,
5.0,em,URN,Uniform Resource Name,
5.0,em,USACE,United States Army Corps of Engineers,
5.0,em,X509,,X.509 is a standard defining the format of public key certificates.
5.0,genc,Alpha2,,Two-letter
5.0,genc,Alpha3,,Three-letter
5.0,geo,GML,Geography Markup Language,
5.0,geo,Multi,,one or more
5.0,geo,OGC,Open Geospatial Consortium,
5.0,have-codes,Decon,Decontamination,
5.0,have-codes,EMS,Emergency Medical Service,
5.0,have-codes,EOC,Emergency Operations Center,
5.0,hazmat,UN,United Nations,
5.0,hs,AFCARS,Adoption and Foster Care Analysis and Reporting System (AFCARS),
5.0,hs,ASFA,Adoption and Safe Families Act,
5.0,hs,CFR,,Code of Federal Regulations
5.0,hs,Comp,Compensation,
5.0,hs,EBT,Electronic Benefit Transfer,
5.0,hs,FEIN,Federal Employer Identification Number,
5.0,hs,FIPS,Federal Information Processing Series,
5.0,hs,firesetting,,A behavior that includes setting fires both accidentally and intentionally.
5.0,hs,FS,Food Stamps,
5.0,hs,habilitative,,"Habilitative services help a person keep, learn, or improve skills and functioning for daily living."
5.0,hs,ICPC,Interstate Compact on the Placement of Children,
5.0,hs,ICWA,Indian Child Welfare Act,
5.0,hs,IV-D,,Title IV-D of the Social Security Act
5.0,hs,IV-E,,Title IV-E of the Social Security Act addressing Federal Payments for Foster Care and Adoption Assistance.
5.0,hs,NCANDS,National Child Abuse and Neglect Data System,
5.0,hs,NCIC,National Crime Information Center,
5.0,hs,NCP,Noncustodial parent,
5.0,hs,NPI,National Provider Identifier,
5.0,hs,PARIS,Public Assistance Reporting Information System,
5.0,hs,Polyvictimization,,Multiple victimizations of a person
5.0,hs,SSA,Social Security Administration,
5.0,hs,SSI,Supplemental Security Income,
5.0,hs,SSN,Social Security Number,
5.0,hs,TANF,Temporary Assistance to Needy Families,
5.0,hs,UCCJEA,Uniform Child Custody Jurisdiction and Enforcement Act,
5.0,hs,VA,Veterans Affairs,
5.0,im,CIS,Citizenship and Immigration Service,
5.0,im,DS,Department of State,
5.0,im,EV,Exchange Visitor,
5.0,im,F1,F-1 visa,
5.0,im,F2,F-2 visa,
5.0,im,Hague,,"The Hague is the seat of government in the Netherlands, and the capital city of the province of South Holland."
5.0,im,I20s,Form I-20,
5.0,im,ICE,Immigration and Customs Enforcement,
5.0,im,J2,J-2 visa,
5.0,im,K9,canine,
5.0,im,M1,M1 visa,
5.0,im,M2,M2 visa,
5.0,im,PIN,Personal Identification Number,
5.0,im,PL94-484,Public Law 94-484,
5.0,im,SEVIS,Student and Exchange Visitor Information System,
5.0,im,SSN,Social Security Number,
5.0,im,USCIS,United States Citizenship and Immigration Services,
5.0,intel,Alpha2,,Two-letter
5.0,intel,Alpha3,,Three-letter
5.0,intel,CBEFF,Common Biometric Exchange Formats Framework,
5.0,intel,ECR,(Threat Group Member) Criteria for Entry,
5.0,intel,FBI,Federal Bureau of Investigation,
5.0,intel,FIPS,Federal Information Processing Standards,
5.0,intel,FIPS10-4,,"The FIPS 10-4 standard, Countries, Dependencies, Areas of Special Sovereignty, and Their Principal Administrative Divisions, was a list of two-letter country codes that were used by the U.S. Government for geographical data processing in many publications."
5.0,intel,ICMWG,Intelligence Community Metadata Working Group,
5.0,intel,INA,Immigration and Nationality Act,
5.0,intel,ISO,International Organization for Standardization,
5.0,intel,ISO3166,,"ISO 3166 is a standard published by the International Organization for Standardization (ISO) that defines codes for the names of countries, dependent territories, special areas of geographical interest, and their principal subdivisions (e.g., provinces or states). The official name of the standard is Codes for the representation of names of countries and their subdivisions."
5.0,intel,NCTC,National Counterterrorism Center,
5.0,intel,VGTOF,Violent Gang and Terrorist Organizations File,
5.0,iso_3166,Alpha2,,Two-letter
5.0,iso_3166,Alpha3,,Three-letter
5.0,it,ChA1,HMRC Charity application form,
5.0,it,CHAI,HMRC Charity application form,
5.0,it,Deconsolidator,,"A receiving party of a consolidated shipment, who divides the latter into its original single consignments and undertakes to make them available to be delivered."
5.0,it,EMS,Emergency Medical Service,
5.0,it,FTZ,Foreign Trade Zone,
5.0,it,HTS,Harmonized Tariff Schedule,
5.0,it,IATA,International Air Transport Association,
5.0,it,IMO,International Maritime Organization,
5.0,it,INCOTERMS,International Commercial Terms,
5.0,it,ISO,International Organization for Standardization,
5.0,it,ISO6346,,"ISO 6346 is an international standard covering the coding, identification and marking of intermodal (shipping) containers used within containerized intermodal freight transport."
5.0,it,MFA,Multi Fibre Arrangement,
5.0,it,NTN,National Training Numbers,
5.0,it,SCAC,Standard Carrier Alpha Code,
5.0,it,Transhipment,,"The shipment of goods or containers to an intermediate destination, then to another destination."
5.0,it,UCR,Unique Customs Reference,
5.0,it,UNDG,United Nations Development Group,
5.0,it,VIR,Vehicle Inspection Report,
5.0,it,WCO,World Customs Organization,
5.0,itcodes,ISO,International Organization for Standardization,
5.0,itcodes,ISO6346,,"ISO 6346 is an international standard covering the coding, identification and marking of intermodal (shipping) containers used within containerized intermodal freight transport."
5.0,itcodes,UNECE,United Nations Economic Commission for Europe,
5.0,j,AAMVA,The American Association of Motor Vehicle Administrators,
5.0,j,ACD,AAMVA Code Dictionary,
5.0,j,ADA,Americans with Disabilities Act,
5.0,j,AFIS,Automated Fingerprint Identification System,
5.0,j,Alpha,,Letter(s)
5.0,j,Amber,America's Missing: Broadcast Emergency Response,
5.0,j,ANSID20,"The Data Dictionary for Traffic Record Systems, maintained by AAMVA, the American Association of Motor Vehicle Administrators",
5.0,j,APCO,"Association of Public-Safety Communications Officials (APCO) - International, Inc.",
5.0,j,BAC,Blood Alcohol Concentration,
5.0,j,BOP,Bureau of Prisons,
5.0,j,BPH,Board of Parole Hearings,
5.0,j,Brady,Brady Law,
5.0,j,CDL,Commercial Driver's License,
5.0,j,CFR,,Code of Federal Regulations
5.0,j,CHRI,Criminal History Record Information,
5.0,j,CJIS,Criminal Justice Information System,
5.0,j,CLP,Commercial Learners Permit,
5.0,j,CMV,Commercial Motor Vehicle,
5.0,j,CODIS,Combined DNA Index System,
5.0,j,COMPAS,Correctional Offender Management Profiling for Alternative Sanctions,
5.0,j,DEA,Drug Enforcement Administration,
5.0,j,DHS,Department of Homeland Security,
5.0,j,DMH,Department of Mental Health,
5.0,j,DNA,Deoxyribonucleic acid,
5.0,j,DOT,Department of Transportation,
5.0,j,EMS,Emergency Medical Service,
5.0,j,Enhanceable,,An enhanceable offense means that specific factors can increase the severity level of the offense.
5.0,j,FBI,Federal Bureau of Investigation,
5.0,j,FCN,file control number,
5.0,j,FFL,federal firearms license,
5.0,j,FIPS,Federal Information Processing Standards,
5.0,j,GDEP,Geographic-Drug Enforcement Program,
5.0,j,GVWR,gross vehicle weight rating,
5.0,j,HazMat,Hazardous Materials,
5.0,j,HME,Hazardous Material Endorsement,
5.0,j,HRSO,high risk sex offender,
5.0,j,IAFIS,Integrated Automated Fingerprint Identification System,
5.0,j,IBIS,Integrated Ballistic Identification System,
5.0,j,ICC,Interstate Commerce Commission,
5.0,j,ISBN,International Standard Book Number,
5.0,j,JABS,JABS,Joint Automated Booking System
5.0,j,Keyhea,,"Under the Keyhea injunction, 'involuntary medication' cannot be administered to a state prisoner for more than three days unless the professional staff of the facility in which the prisoner is incarcerated has analyzed the prisoner's condition and found that the prisoner is, as a result of a mental disorder, 'gravely disabled and incompetent to refuse medication or a danger to others, or a danger to self,' and the prisoner has been 'advised of the need for, but has not been willing to accept medication on a voluntary basis.'"
5.0,j,LEOKA,Law Enforcement Officer Killed or Assaulted,
5.0,j,LIS,License Plate State,
5.0,j,Livescan,,"An inkless, electronic means of capturing fingerprints in a digitized format and then transmitting them to a state repository and/or the FBI"
5.0,j,LSTA,,State/Country Index
5.0,j,MACR,Monthly Arrest and Citation Register,
5.0,j,MCMIS,Motor Carrier Management Information System,
5.0,j,MCO,Manufacturer's certificate of origin,
5.0,j,MCSIP,Motor Carrier Safety Improvement Process,
5.0,j,MDO,mentally disordered offender,
5.0,j,MHSDS,Mental Health Services Delivery System,
5.0,j,MMUCC,Model Minimum Uniform Crash Criteria,
5.0,j,MO,Modus Operandi,
5.0,j,ModusOperandi,Mode of operating,
5.0,j,Multi,Multiple,
5.0,j,NCIC,National Crime Information Center,
5.0,j,NCMEC,National Center for Missing & Exploited Children,
5.0,j,NDEX,National Data Exchange,
5.0,j,NDEx,National Data Exchange,
5.0,j,NIBRS,National Incident Based Reporting System,
5.0,j,NICB,National Insurance Crime Bureau,
5.0,j,NICS,National Instant Criminal Background Check System,
5.0,j,NLETS,National Law Enforcement Telecommunication Systems,
5.0,j,OCA,Originating Case Agency,
5.0,j,ORI,,"A nine-character identifier assigned by the FBI Criminal Justice Information Systems (CJIS) staff to an organization, which must have met the established qualifying criteria for ORI assignment to identify the agency in transactions on CJIS Systems."
5.0,j,POST,Peace Official Standards and Training,
5.0,j,Postdirectional,,"A word following a street name that indicates the directional taken by the thoroughfare from an arbitrary starting point or line, or the sector where it is located."
5.0,j,Predirectional,,"A word preceding a street name that indicates the directional taken by the thoroughfare from an arbitrary starting point or line, or the sector where it is located."
5.0,j,PRISM,Performance and Registration Information Systems Management,
5.0,j,REALID,,"Public Law 109–13, 119 Statute 302, enacted May 11, 2005, was an Act of Congress that modified U.S. federal law pertaining to security, authentication, and issuance procedures standards for the state driver's licenses and identification (ID) cards, as well as various immigration issues pertaining to terrorism."
5.0,j,RES,Registration State,
5.0,j,RH,,Rhesus (Rh) factor is an inherited protein found on the surface of red blood cells.
5.0,j,RICO,Racketeer Influenced and Corrupt Organizations,
5.0,j,SAFESTAT,Safety Status Measurement System,
5.0,j,Separatee,A person who must be kept separate from another person.,
5.0,j,SMT,"Scars, Marks, Tattoos, and Other Characteristics",
5.0,j,SSN,Social Security Number,
5.0,j,TCD,traffic control device,
5.0,j,TCN,Transaction Control Number,
5.0,j,TripleI,III - Interstate Identification Index system,
5.0,j,TSA,,Transportation Security Administration
5.0,j,TYP,(Firearm) Type,
5.0,j,TYPA,(Article) Type,
5.0,j,TYPO,(ORI) Type,
5.0,j,UCR,Uniform Crime Reporting,
5.0,j,USDOT,United States Department of Transportation,
5.0,j,USMS,United States Marshal Service,
5.0,j,VICAP,Violent Criminal Apprehension Program,
5.0,j,VIN,Vehicle Identification Number,
5.0,j,VINA,Vehicle Identification Number Analysis,
5.0,j,WHTI,Western Hemisphere Travel Initiative,
5.0,j,XRay,X-Ray,
5.0,j,XRays,X-Rays,
5.0,jp2-0,DoD,Department of Defense,
5.0,jp3-52,ACM,Airspace Coordinating Measure,
5.0,m,Alpha2,,Two-letter
5.0,m,Alpha3,,Three-letter
5.0,m,APR,April,
5.0,m,7-Apr,Apr-07,
5.0,m,BE,Basic Encyclopedia,
5.0,m,CANUS,Canada/USA,
5.0,m,CANUSLexiconAPR07,April 2007 Canada/USA Bi-National Vessel of Interest (VOI) Lexicon,
5.0,m,CDC,Certain Dangerous Cargo,
5.0,m,CFR,,Code of Federal Regulations
5.0,m,COTP,Captain of the Port,
5.0,m,CVSSA,Cruise Vessel Security and Safety Act,
5.0,m,DOC,Document of Compliance,
5.0,m,FIPS,Federal Information Processing Standards,
5.0,m,Helo,helicopter,
5.0,m,HIN,Hull Identification Number,
5.0,m,IMO,International Maritime Organization,
5.0,m,IRCS,International Registered Call Sign,
5.0,m,ISM,International Safety Management,
5.0,m,ISO,International Organization for Standardization,
5.0,m,ISO3166,,"ISO 3166 is a standard published by the International Organization for Standardization (ISO) that defines codes for the names of countries, dependent territories, special areas of geographical interest, and their principal subdivisions (e.g., provinces or states). The official name of the standard is Codes for the representation of names of countries and their subdivisions."
5.0,m,ISPS,International Ship and Port Facility Security,
5.0,m,ISSC,International Ship Security Certificate,
5.0,m,MMSI,Maritime Mobile Service Identity,
5.0,m,NORTHCOM,Northern Command,
5.0,m,SCONUM,Ship Control Number,
5.0,m,TRDM,US Transportation Command (USTRANSCOM) Reference Data Model (TRDM),
5.0,m,UN,United Nations,
5.0,m,UNECE,United Nations Economic Commission for Europe,
5.0,m,UNLOCODE,United Nations Code for Trade and Transport Locations,
5.0,m,USMTF,United States Message Text Format,
5.0,mmucc,BAC,Blood Alcohol Concentration,
5.0,mmucc,GVWR,Gross vehicle weight rating,
5.0,mmucc,GVWRs,Gross vehicle weight rating,
5.0,mmucc,HazMat,Hazardous Materials,
5.0,mmucc,NA,Not applicable,
5.0,mmucc,NR,Not reported,
5.0,mmucc,Trafficway,,A highway or roadway open to traffic.
5.0,mo,Aimpoint,,A point associated with a target and assigned for a specific weapon impact.
5.0,mo,AMETL,Agency Mission Essential Task List,
5.0,mo,codespace,,A controlled vocabulary
5.0,mo,DNS,Domain Name System,
5.0,mo,DoD,Department of Defense,
5.0,mo,DSN,Defense Switched Network,
5.0,mo,FMID,Force Management Identifier,
5.0,mo,GFM,Global Force Management,
5.0,mo,JS,Joint Staff,
5.0,mo,MGRS,Military Grid Reference System,
5.0,mo,MilOps,Military Operations,
5.0,mo,MILSTD,Military Standard,
5.0,mo,MILSTD2525-B,Military Standard 2525 B (MIL-STD-2525B),
5.0,mo,MILSTD2525-C,Military Standard 2525 C (MIL-STD-2525C),
5.0,mo,MILSTD2525-D,Military Standard 2525 D (MIL-STD-2525D),
5.0,mo,NIST,National Institute of Standards and Technology,
5.0,mo,OPEX,Operation Exercise,
5.0,mo,POC,Point of Contact,
5.0,mo,SIDC,Symbol Identification Code,
5.0,mo,SP,Special Publication,
5.0,mo,STANAG,Standardization Agreement,
5.0,mo,UIC,Unit Identification Code,
5.0,mo,ULN,Unit Line Number,
5.0,mo,UPS,Universal Polar Stereographic,
5.0,mo,URN,Unit Reference Number,
5.0,mo,UTM,Univeral Transvere Mercator,
5.0,mo,UUID,Universally unique identifier,
5.0,mo,Waypoint,,A point or a series of points to which a moving object may be vectored.
5.0,mo,WGS84,World Geodetic System 84,
5.0,nc,2D,Two-dimensional,
5.0,nc,3D,Three-dimensional,
5.0,nc,Alpha2,,Two-letter
5.0,nc,Alpha3,,Three-letter
5.0,nc,CMV,Commercial Motor Vehicle,
5.0,nc,DEA,Drug Enforcement Administration,
5.0,nc,ESN,electronic serial number,
5.0,nc,FATCA,Foreign Account Tax Compliance Act,
5.0,nc,FIPS,Federal Information Processing Standards,
5.0,nc,GENC,"Geopolitical Entities, Names, and Codes",
5.0,nc,GSM,Global System for Mobile communication,
5.0,nc,IMEI,International Mobile Equipment Identity,
5.0,nc,IPv4,Internet Protocol version 4,
5.0,nc,IPv6,Internet Protocol version 6,
5.0,nc,ISO,International Organization for Standardization,
5.0,nc,ISO3166,,"ISO 3166 is a standard published by the International Organization for Standardization (ISO) that defines codes for the names of countries, dependent territories, special areas of geographical interest, and their principal subdivisions (e.g., provinces or states). The official name of the standard is Codes for the representation of names of countries and their subdivisions."
5.0,nc,ISSN,International Standard Serial Number,
5.0,nc,MAC,media access control address,
5.0,nc,MIME,Multipurpose Internet Mail Extensions,
5.0,nc,MSRP,Manufacturer's suggested retail price,
5.0,nc,NANP,North American Numbering Plan,
5.0,nc,Postdirectional,,"A word following a street name that indicates the directional taken by the thoroughfare from an arbitrary starting point or line, or the sector where it is located."
5.0,nc,Predirectional,,"A word preceding a street name that indicates the directional taken by the thoroughfare from an arbitrary starting point or line, or the sector where it is located."
5.0,nc,RFID,Radio-frequency identification,
5.0,nc,RH,,Rhesus (Rh) factor is an inherited protein found on the surface of red blood cells.
5.0,nc,SSN,Social Security Number,
5.0,nc,TCP,Transmission Control Protocol,
5.0,nc,UMTS,Universal Mobile Telecommunications Service,
5.0,nc,UTC,Coordinated Universal Time,
5.0,nc,UTM,Universal Transverse Mercator,
5.0,nces,CIP,Classification of Instructional Programs,
5.0,ncic,ABRA,Article Brand Name,
5.0,ncic,BCO,Boat Color,
5.0,ncic,BLT,Blood Type,
5.0,ncic,BMA,Boat Make,
5.0,ncic,BPS,Body Parts Status,
5.0,ncic,BRA,Boat Brand Name,
5.0,ncic,BTMA,Vehicle Make for Boat Trailer,
5.0,ncic,BTY,Boat Type,
5.0,ncic,BXR,Body X-Rays Available,
5.0,ncic,CAL,(Firearm) Caliber,
5.0,ncic,CAT,(Vehicle/Boat Part) Category,
5.0,ncic,CBTY,Canadian Boat Type,
5.0,ncic,CDA,Manner and Cause of Death,
5.0,ncic,CMC,Caution and Medical Conditions,
5.0,ncic,COL,(Physical Feature) Color,
5.0,ncic,CPRO,Canadian Vehicle Index Propulsion,
5.0,ncic,CRC,Circumcision,
5.0,ncic,CRR,Conviction Resulting in Registration,
5.0,ncic,CTZ,Citizenship,
5.0,ncic,DBN,One Crime Inquiry Database Name,
5.0,ncic,DCH,Dental Characteristics,
5.0,ncic,DEN,Denomination,
5.0,ncic,ECR,(Threat Group Member) Criteria for Entry,
5.0,ncic,EPD,(Boat) Engine Power or Displacement,
5.0,ncic,ETN,Ethnicity,
5.0,ncic,EXL,Extradition Limitation,
5.0,ncic,EYE,Eye Color,
5.0,ncic,FILE,FILE fields,
5.0,ncic,FP,Fingerprint,
5.0,ncic,FPC,Fingerprint Classification,
5.0,ncic,GOFF,,Offenses of General Applicability
5.0,ncic,GTYP,Gun Type Characteristic 1 Weapon Type,
5.0,ncic,GTYP2,Gun Type Characteristic 2,
5.0,ncic,GTYP3,Gun Type Combination,
5.0,ncic,GTYPE,Global Inquiry Type of Request,
5.0,ncic,HAI,Hair Color,
5.0,ncic,HSP,(Boat) Hull Shape,
5.0,ncic,HUL,(Boat) Outer Hull Material,
5.0,ncic,IDT,Identity Theft Type,
5.0,ncic,IFS,Identification for Firearm Sales,
5.0,ncic,IMT,Image Type,
5.0,ncic,JWT,Jewelry Type,
5.0,ncic,LIS,License Plate State,
5.0,ncic,LIT,License Plate Number,
5.0,ncic,LITP,License Plate Type,
5.0,ncic,LSTA,State/Country Index,
5.0,ncic,MAK,(Firearm) Make,
5.0,ncic,MNP,Missing Person,
5.0,ncic,MNU,(person identifier) Miscellaneous Number,
5.0,ncic,MPC,Missing Person Circumstances,
5.0,ncic,NICS,National Instant Criminal Background Check System,
5.0,ncic,NPF,Number of Missing Person Found,
5.0,ncic,OFF,Offense Code,
5.0,ncic,OFS,Offender Status,
5.0,ncic,OLS,Operator License State,
5.0,ncic,OOC,Original Offense Code,
5.0,ncic,ORI,,"A nine-character identifier assigned by the FBI Criminal Justice Information Systems (CJIS) staff to an organization, which must have met the established qualifying criteria for ORI assignment to identify the agency in transactions on CJIS Systems."
5.0,ncic,PCC,Physical Feature Class,
5.0,ncic,PCO,Protection Order Condition,
5.0,ncic,PCS,(Fingerprint) Pattern Code Source,
5.0,ncic,POB,Place of Birth,
5.0,ncic,PRO,(Boat) Propulsion,
5.0,ncic,PSC,Physical Feature Sub Class,
5.0,ncic,RAC,Race,
5.0,ncic,RES,Registration State,
5.0,ncic,RMI,Ransom Money Indicator,
5.0,ncic,ROV,Relationship of Victim,
5.0,ncic,RPP,Reason for Property Record Removal,
5.0,ncic,SDT,Security Date or Series Year,
5.0,ncic,SEX,Gender,
5.0,ncic,SKN,Skin Tone,
