Release,NamespacePrefix,GlossaryTerm,GlossaryLiteral,GlossaryDefinition
4.1,em,EMS,Emergency Medical Service,
4.1,em,EOC,Emergency Operations Center,
4.1,em,Geo,geo-coded,
4.1,em,NIST,National Institute of Standards and Technology,
4.1,em,OBGYN,Obstetrics & Gynecology,
4.1,em,Passcode,,A numeric password.
4.1,em,URN,Uniform Resource Name,
4.1,geo,Multi,,one or more
4.1,have-codes,Decon,Decontamination,
4.1,have-codes,EMS,Emergency Medical Service,
4.1,have-codes,EOC,Emergency Operations Center,
4.1,hazmat,UN,United Nations,
4.1,hs,ASFA,Adoption and Safe Families Act,
4.1,hs,Comp,Compensation,
4.1,hs,EBT,Electronic Benefit Transfer,
4.1,hs,FS,Food Stamps,
4.1,hs,ICPC,Interstate Compact on the Placement of Children,
4.1,hs,ICWA,Indian Child Welfare Act,
4.1,hs,NCANDS,National Child Abuse and Neglect Data System,
4.1,hs,NCIC,National Crime Information Center,
4.1,hs,PARIS,Public Assistance Reporting Information System,
4.1,hs,SSA,Social Security Administration,
4.1,hs,SSI,Supplemental Security Income,
4.1,hs,SSN,Social Security Number,
4.1,hs,TANF,Temporary Assistance to Needy Families,
4.1,hs,VA,Veterans Affairs,
4.1,im,F1,F-1 visa,
4.1,im,F2,F-2 visa,
4.1,im,Hague,,"The Hague is the seat of government in the Netherlands, and the capital city of the province of South Holland."
4.1,im,I20s,Form I-20,
4.1,im,ICE,Immigration and Customs Enforcement,
4.1,im,J2,J-2 visa,
4.1,im,K9,canine,
4.1,im,M1,M1 visa,
4.1,im,M2,M2 visa,
4.1,im,PIN,Personal Identification Number,
4.1,im,PL94-484,Public Law 94-484,
4.1,im,SEVIS,Student and Exchange Visitor Information System,
4.1,im,SSN,Social Security Number,
4.1,im,USCIS,United States Citizenship and Immigration Services,
4.1,intel,Alpha2,,Two-letter
4.1,intel,Alpha3,,Three-letter
4.1,intel,CBEFF,Common Biometric Exchange Formats Framework,
4.1,intel,ECR,(Threat Group Member) Criteria for Entry,
4.1,intel,FBI,Federal Bureau of Investigation,
4.1,intel,FIPS,Federal Information Processing Standards,
4.1,intel,INA,Immigration and Nationality Act,
4.1,intel,ISO,International Organization for Standardization,
4.1,intel,NCTC,National Counterterrorism Center,
4.1,iso_3166,Alpha2,,Two-letter
4.1,iso_3166,Alpha3,,Three-letter
4.1,it,ChA1,HMRC Charity application form,
4.1,it,CHAI,HMRC Charity application form,
4.1,it,EMS,Emergency Medical Service,
4.1,it,HTS,Harmonized Tariff Schedule,
4.1,it,IATA,International Air Transport Association,
4.1,it,IMO,International Maritime Organization,
4.1,it,INCOTERMS,International Commercial Terms,
4.1,it,ISO,International Organization for Standardization,
4.1,it,MFA,Multi Fibre Arrangement,
4.1,it,NTN,National Training Numbers,
4.1,it,SCAC,Standard Carrier Alpha Code,
4.1,it,UCR,Unique Customs Reference,
4.1,it,UNDG,United Nations Development Group,
4.1,it,VIR,Vehicle Inspection Report,
4.1,it,WCO,World Customs Organization,
4.1,itcodes,ISO,International Organization for Standardization,
4.1,itcodes,UNECE,United Nations Economic Commission for Europe,
4.1,j,AAMVA,The American Association of Motor Vehicle Administrators,
4.1,j,ACD,AAMVA Code Dictionary,
4.1,j,AFIS,Automated Fingerprint Identification System,
4.1,j,Alpha,,Letter(s)
4.1,j,Amber,America's Missing: Broadcast Emergency Response,
4.1,j,ANSID20,"The Data Dictionary for Traffic Record Systems, maintained by AAMVA, the American Association of Motor Vehicle Administrators",
4.1,j,APCO,"Association of Public-Safety Communications Officials (APCO) - International, Inc.",
4.1,j,BOP,Bureau of Prisons,
4.1,j,BPH,Board of Parole Hearings,
4.1,j,Brady,Brady Law,
4.1,j,CDL,Commercial Driver's License,
4.1,j,CHRI,Criminal History Record Information,
4.1,j,CJIS,Criminal Justice Information System,
4.1,j,CMV,Commercial Motor Vehicle,
4.1,j,CODIS,Combined DNA Index System,
4.1,j,COMPAS,Correctional Offender Management Profiling for Alternative Sanctions,
4.1,j,DEA,Drug Enforcement Administration,
4.1,j,DHS,Department of Homeland Security,
4.1,j,DMH,Department of Mental Health,
4.1,j,DNA,Deoxyribonucleic acid,
4.1,j,DOT,Department of Transportation,
4.1,j,EMS,Emergency Medical Service,
4.1,j,FBI,Federal Bureau of Investigation,
4.1,j,FCN,file control number,
4.1,j,FFLID,federal firearms license,
4.1,j,FIPS,Federal Information Processing Standards,
4.1,j,GDEP,Geographic-Drug Enforcement Program,
4.1,j,GVWR,gross vehicle weight rating,
4.1,j,HazMat,Hazardous Materials,
4.1,j,HME,Hazardous Material Endorsement,
4.1,j,HRSO,high risk sex offender,
4.1,j,IAFIS,Integrated Automated Fingerprint Identification System,
4.1,j,IBIS,Integrated Ballistic Identification System,
4.1,j,ICC,Interstate Commerce Commission,
4.1,j,ISBN,International Standard Book Number,
4.1,j,ISSN,International Standard Serial Number,
4.1,j,JABS,JABS,Joint Automated Booking System
4.1,j,LEOKA,Law Enforcement Officer Killed or Assaulted,
4.1,j,LIS,License Plate State,
4.1,j,LSTA,,State/Country Index
4.1,j,MACR,Monthly Arrest and Citation Register,
4.1,j,MCMIS,Motor Carrier Management Information System,
4.1,j,MCO,Manufacturer's certificate of origin,
4.1,j,MCSIP,Motor Carrier Safety Improvement Process,
4.1,j,MDO,mentally disordered offender,
4.1,j,MHSDS,Mental Health Services Delivery System,
4.1,j,MMUCC,Model Minimum Uniform Crash Criteria,
4.1,j,MO,Modus Operandi,
4.1,j,Multi,Multiple,
4.1,j,NCIC,National Crime Information Center,
4.1,j,NCMEC,National Center for Missing & Exploited Children,
4.1,j,NDEx,National Data Exchange,
4.1,j,NDEX,National Data Exchange,
4.1,j,NIBRS,National Incident Based Reporting System,
4.1,j,NICB,National Insurance Crime Bureau,
4.1,j,NLETS,National Law Enforcement Telecommunication Systems,
4.1,j,OCA,Originating Case Agency,
4.1,j,ORI,,"A nine-character identifier assigned by the FBI Criminal Justice Information Systems (CJIS) staff to an organization, which must have met the established qualifying criteria for ORI assignment to identify the agency in transactions on CJIS Systems."
4.1,j,POST,Peace Official Standards and Training,
4.1,j,PRISM,Performance and Registration Information Systems Management,
4.1,j,REALID,,"Public Law 109–13, 119 Statute 302, enacted May 11, 2005, was an Act of Congress that modified U.S. federal law pertaining to security, authentication, and issuance procedures standards for the state driver's licenses and identification (ID) cards, as well as various immigration issues pertaining to terrorism."
4.1,j,RES,Registration State,
4.1,j,SAFESTAT,Safety Status Measurement System,
4.1,j,SMT,"Scars, Marks, Tattoos, and Other Characteristics",
4.1,j,TCD,traffic control device,
4.1,j,TCN,Transaction Control Number,
4.1,j,TripleI,III - Interstate Identification Index system,
4.1,j,TYP,(Firearm) Type,
4.1,j,TYPA,(Article) Type,
4.1,j,TYPO,(ORI) Type,
4.1,j,UCR,Uniform Crime Reporting,
4.1,j,USDOT,United States Department of Transportation,
4.1,j,USMS,United States Marshal Service,
4.1,j,VICAP,Violent Criminal Apprehension Program,
4.1,j,VIN,Vehicle Identification Number,
4.1,j,VINA,Vehicle Identification Number Analysis,
4.1,j,XRay,X-Ray,
4.1,j,XRays,X-Rays,
4.1,m,Alpha2,,Two-letter
4.1,m,Alpha3,,Three-letter
4.1,m,APR,April,
4.1,m,BE,Basic Encyclopedia,
4.1,m,CANUS,Canada/USA,
4.1,m,CANUSLexiconAPR07,April 2007 Canada/USA Bi-National Vessel of Interest (VOI) Lexicon,
4.1,m,CDC,Certain Dangerous Cargo,
4.1,m,COTP,Captain of the Port,
4.1,m,CVSSA,Cruise Vessel Security and Safety Act,
4.1,m,DOC,Document of Compliance,
4.1,m,FIPS,Federal Information Processing Standards,
4.1,m,Helo,helicopter,
4.1,m,HIN,Hull Identification Number,
4.1,m,IMO,International Maritime Organization,
4.1,m,IRCS,International Registered Call Sign,
4.1,m,ISM,International Safety Management,
4.1,m,ISO,International Organization for Standardization,
4.1,m,ISPS,International Ship and Port Facility Security,
4.1,m,ISSC,International Ship Security Certificate,
4.1,m,MMSI,Maritime Mobile Service Identity,
4.1,m,SCONUM,Ship Control Number,
4.1,m,TRDM,US Transportation Command (USTRANSCOM) Reference Data Model (TRDM),
4.1,m,UN,United Nations,
4.1,m,UNECE,United Nations Economic Commission for Europe,
4.1,m,UNLOCODE,United Nations Code for Trade and Transport Locations,
4.1,m,USMTF,United States Message Text Format,
4.1,mmucc,HazMat,Hazardous Materials,
4.1,mmucc,NA,Not applicable,
4.1,mmucc,NR,Not reported,
4.1,mmucc,Trafficway,,A highway or roadway open to traffic.
4.1,mo,DSN,Defense Switched Network,
4.1,mo,MGRS,Military Grid Reference System,
4.1,mo,MILSTD2525-B,Military Standard 2525 B (MIL-STD-2525B),
4.1,mo,MILSTD2525-C,Military Standard 2525 C (MIL-STD-2525C),
4.1,mo,MILSTD2525-D,Military Standard 2525 D (MIL-STD-2525D),
4.1,mo,OPEX,Operation Exercise,
4.1,mo,SIDC,Symbol Identification Code,
4.1,mo,STANAG,Standardization Agreement,
4.1,mo,UIC,Unit Identification Code,
4.1,mo,URN,Unit Reference Number,
4.1,mo,UTM,Univeral Transvere Mercator,
4.1,mo,UUID,Universally unique identifier,
4.1,mo,WGS84,World Geodetic System 84,
4.1,nc,2D,Two-dimensional,
4.1,nc,3D,Three-dimensional,
4.1,nc,Alpha2,,Two-letter
4.1,nc,Alpha3,,Three-letter
4.1,nc,CMV,Commercial Motor Vehicle,
4.1,nc,DEA,Drug Enforcement Administration,
4.1,nc,ESN,electronic serial number,
4.1,nc,FIPS,Federal Information Processing Standards,
4.1,nc,GENC,"Geopolitical Entities, Names, and Codes",
4.1,nc,GSM,Global System for Mobile communication,
4.1,nc,IMEI,International Mobile Equipment Identity,
4.1,nc,ISO,International Organization for Standardization,
4.1,nc,MAC,media access control address,
4.1,nc,NANP,North American Numbering Plan,
4.1,nc,SSN,Social Security Number,
4.1,nc,UMTS,Universal Mobile Telecommunications Service,
4.1,nc,UTC,Coordinated Universal Time,
4.1,nc,UTM,Universal Transverse Mercator,
4.1,ncic,BCO,Boat Color,
4.1,ncic,BLT,Blood Type,
4.1,ncic,BMA,Boat Make,
4.1,ncic,BPS,Body Parts Status,
4.1,ncic,BRA,Boat Brand Name,
4.1,ncic,BTMA,Vehicle Make for Boat Trailer,
4.1,ncic,BTY,Boat Type,
4.1,ncic,BXR,Body X-Rays Available,
4.1,ncic,CAL,(Firearm) Caliber,
4.1,ncic,CAT,(Vehicle/Boat Part) Category,
4.1,ncic,CDA,Manner and Cause of Death,
4.1,ncic,CMC,Caution and Medical Conditions,
4.1,ncic,COL,(Physical Feature) Color,
4.1,ncic,CRC,Circumcision,
4.1,ncic,CTZ,Citizenship,
4.1,ncic,DCH,Dental Characteristics,
4.1,ncic,DEN,Denomination,
4.1,ncic,ECR,(Threat Group Member) Criteria for Entry,
4.1,ncic,EPD,(Boat) Engine Power or Displacement,
4.1,ncic,ETN,Ethnicity,
4.1,ncic,EXL,Extradition Limitation,
4.1,ncic,EYE,Eye Color,
4.1,ncic,FILE,FILE fields,
4.1,ncic,FPC,Fingerprint Classification,
4.1,ncic,HAI,Hair Color,
4.1,ncic,HSP,(Boat) Hull Shape,
4.1,ncic,HUL,(Boat) Outer Hull Material,
4.1,ncic,IDT,Identity Theft Type,
4.1,ncic,IFS,Identification for Firearm Sales,
4.1,ncic,IMT,Image Type,
4.1,ncic,JWT,Jewelry Type,
4.1,ncic,LIS,License Plate State,
4.1,ncic,LIT,License Plate Number,
4.1,ncic,LSTA,State/Country Index,
4.1,ncic,MAK,(Firearm) Make,
4.1,ncic,MNP,Missing Person,
4.1,ncic,MNU,(person identifier) Miscellaneous Number,
4.1,ncic,MPC,Missing Person Circumstances,
4.1,ncic,OFF,Offense Code,
4.1,ncic,OLS,Operator License State,
4.1,ncic,ORI,,"A nine-character identifier assigned by the FBI Criminal Justice Information Systems (CJIS) staff to an organization, which must have met the established qualifying criteria for ORI assignment to identify the agency in transactions on CJIS Systems."
4.1,ncic,PCC,Physical Feature Class,
4.1,ncic,PCO,Protection Order Condition,
4.1,ncic,PCS,(Fingerprint) Pattern Code Source,
4.1,ncic,POB,Place of Birth,
4.1,ncic,PRO,(Boat) Propulsion,
4.1,ncic,PSC,Physical Feature Sub Class,
4.1,ncic,RAC,Race,
4.1,ncic,RES,Registration State,
4.1,ncic,RMI,Ransom Money Indicator,
4.1,ncic,SDT,Security Date or Series Year,
4.1,ncic,SEX,Gender,
4.1,ncic,SKN,Skin Tone,
4.1,ncic,SMT,"Scars, Marks, Tattoos, and Other Characteristics",
4.1,ncic,TYP,(Firearm) Type,
4.1,ncic,TYPA,Article Type,
4.1,ncic,TYPO,ORI Type,
4.1,ncic,TYPS,(Securities) Type,
4.1,ncic,VCO,Vehicle Color,
4.1,ncic,VMA,Vehicle Make,
4.1,ncic,VMO,Vehicle Model,
4.1,ncic,VST,Vehicle Style,
4.1,ndex,CAD,Computer Aided Dispatch,
4.1,ndex,CAL,(Firearm) Caliber,
4.1,ndex,E911,Emergency 911,
4.1,ndex,JABS,Joint Automated Booking System,
4.1,ndex,LEOKA,Law Enforcement Officer Killed or Assaulted,
4.1,ndex,MO,Modus Operandi,
4.1,ndex,NDEx,National Data Exchange,
4.1,ndex,NIBRS,National Incident Based Reporting System,
4.1,ndex,RAC,Race,
4.1,ndex,SEX,,The gender or sex of a person.
4.1,ndex,VST,Vehicle Style,
4.1,scr,ASA,Army Security Agency,
4.1,scr,EFTS,Electronic Fingerprint Transmission Specification,
4.1,scr,IATA,International Air Transport Association,
4.1,scr,INS,Immigration and Naturalization Service,
4.1,scr,LPR,License Plate Reader,
4.1,scr,NCIC,National Crime Information Center,
4.1,scr,TECS,Traveler Encounter Compliance System,
4.1,st,AADT,Annual average daily traffic,
4.1,ucr,LEOKA,Law Enforcement Officer Killed or Assaulted,
