Release,Abbreviated Name,Full Name,Version,Style,Definition,URI,Locked in 3.0?,Updated in 3.0?
3.0,edxl_rm,edxl_rm,3,External,"Source: EDXL Resource Messaging (RM) Standards Working Group (SWG); 
Publication: Emergency Data Exchange Language Resource Messaging (EDXL-RM) specification; 
Version: 1.0; 
Date: 22 Dec 2009;   
http://docs.oasis-open.org/emerge",http://release.niem.gov/niem/codes/edxl_rm/3.0/,no,yes
3.0,edxl-cap,edxl-cap,3,Adapter,Common Alerting Protocol,http://release.niem.gov/niem/adapters/edxl-cap/3.0/,no,yes
3.0,edxl-de,edxl-de,3,Adapter,Distribution Element,http://release.niem.gov/niem/adapters/edxl-de/3.0/,no,yes
3.0,edxl-have,edxl-have,3,Adapter,"EDXL-HAVE specifies an XML document format that allows the communication of the status of a hospital, its services, and its resources. These include bed capacity and availability, emergency department status, available service coverage, and the status of a hospital's facility and operations.",http://release.niem.gov/niem/adapters/edxl-have/3.0/,no,yes
3.0,em,emergencyManagement,3,Domain,Emergency Management,http://release.niem.gov/niem/domains/emergencyManagement/3.0/,no,yes
3.0,fips_10-4,fips_10-4,3,External,"Countries, dependencies, areas of special sovereignty, and their principal administrative divisions.
Source:  National Geospatial-Intelligence Agency (NGA); 
Publication: Geopolitical Entities and Codes (formerly FIPS 10-4); 
Date: Apr 2010; 
Source Updates: 14+;  
http://earth-info.nga.mil/gns/html/GEOPOLITICAL_CODES.pdf",http://release.niem.gov/niem/codes/fips_10-4/3.0/,no,yes
3.0,fips_5-2,fips_5-2,3,External,"Source: National Institute for Standards and Technology (NIST); 
Publication: Codes for the Identification of the States, the District of Columbia, and the Outlying Areas of the U.S., and Associated Areas; 
Date: 28 May 1987; 
Source Updates: 1 Jan 1988; 
http://www.itl.nist.gov/fipspubs/fip5-2.htm",http://release.niem.gov/niem/codes/fips_5-2/3.0/,no,yes
3.0,fips_6-4,fips_6-4,3,External,"Source: National Institute for Standards and Technology (NIST); 
Publication: Counties and Equivalent Entities of the U.S., its Possesions, and Associated Areas; 
Date: 31 Aug 1990; 
Source Updates: 7 (7 Jul 2001); 
http://www.itl.nist.gov/fipspubs/fip6-4.htm",http://release.niem.gov/niem/codes/fips_6-4/3.0/,no,yes
3.0,genc,nga_genc,3,External,"The Geopolitical Entities, Names, and Codes (GENC) Standard, the US Government implementation of ISO 3166.
Source: NGA; 
Publication: GENC Standard; 
Version: Ed 1.0; 
Date: 27 Nov 2012;   
https://nsgreg.nga.mil/genc/discovery",http://release.niem.gov/niem/codes/nga_genc/3.0/,no,yes
3.0,geo,geospatial,3,Domain,"Defines NIEM adapter types for external geospatial components defined by OGC and ISO.  It references local copies of unmodified schemas from external standards in local directory tree fragments that mirror the directory structures of the cannonical schema sources on the world wide web, and a profile of the OGC Open Location Services (XLS) schema that is based on GML version 3.2.1.",http://release.niem.gov/niem/adapters/geospatial/3.0/,no,yes
3.0,have-codes,have-codes,3,External,"Source: OASIS Emergency Data Exchange Language (EDXL); 
Publication: Emergency Data Exchange Language (EDXL) Hospital AVailability Exchange (HAVE) Version 1.0; 
Version: 1.0; 
Date: 22 Dec 2009; 
http://docs.oasis-open.org/emergency/edxl-have/v1.0/errata/edxl-have-v1.0-os-errata-os.html",http://release.niem.gov/niem/codes/edxl_have/3.0/,no,yes
3.0,hazmat,dot_hazmat,3,External,"Source: US Department of Transportation (DoT)
Pipeline and Hazardous Materials Safetey Administration (PHMSA); 
Publication: Title 49 CFR 172.101 Table (List of Hazardous Materials); 
Date: 18 Jan 2012; 
Source Updats: 18 Jan 2012; 
http://www.phmsa.dot.gov/portal/site/PHMSA/menuitem.ebdc7a8a7e39f2e55cf2031050248a0c/?vgnextoid=d84ddf479bd7d110VgnVCM1000009ed07898RCRD&vgnextchannel=4f347fd9b896b110",http://release.niem.gov/niem/codes/dot_hazmat/3.0/,no,yes
3.0,hl7,hl7,3,External,"Source: Health (HL-7); 
Publication: Religion-HL7 Table 0006_VD; 
Date: 19 Jul 2004;   http://ushik.ahrq.gov/dr.ui.drConceptualDomain_View?System=mdr&ConceptualDomainID=74288000&ViewDownFile=yes&DownFile=Co",http://release.niem.gov/niem/codes/hl7/3.0/,no,yes
3.0,im,immigration,3,Domain,Immigration,http://release.niem.gov/niem/domains/immigration/3.0/,no,yes
3.0,intel,intelligence,3,Domain,Intelligence,http://release.niem.gov/niem/domains/intelligence/3.0/,no,yes
3.0,ip,infrastructureProtection,3,Domain,Infrastructure Protection,http://release.niem.gov/niem/domains/infrastructureProtection/3.0/,no,yes
3.0,iso_3166,iso_3166-1,3,External,"Source: International Standards Organization (ISO); 
Publication: Codes for the representation of names of countries -- Part 1: Country codes; 
Date: 2 Aug 2012; 
Source Updates: VI-13; 
http://www.iso.org/iso/country_codes.htm",http://release.niem.gov/niem/codes/iso_3166-1/3.0/,no,yes
3.0,iso_4217,iso_4217,3,External,"Source: International Standards Organization (ISO); 
Publication: Codes for the representation of currencies and funds; 
Version: ISO 4217:2008; 
Date: 30 Jun 2008; 
http://www.iso.org/iso/en/prods-services/popstds/currencycodeslist.html",http://release.niem.gov/niem/codes/iso_4217/3.0/,no,yes
3.0,iso_639-3,iso_639-3,3,External,"Source: International Standards Organization (ISO); 
Publication: Codes for the representation of names of languages -- Part 3: Alpha-3 code for comprehensive coverage of languages; 
Version: ISO 639-3:2007; 
Date: 2007; 
Source Updates: 5 Feb 2007; 
http://www.sil.org/iso639-3/",http://release.niem.gov/niem/codes/iso_639-3/3.0/,no,yes
3.0,it,internationalTrade,3,Domain,International Trade,http://release.niem.gov/niem/domains/internationalTrade/3.0/,no,yes
3.0,itcodes,it_codes,3,External,IT Codes,http://release.niem.gov/niem/codes/it_codes/3.0/,no,yes
3.0,j,jxdm,5,Domain,Justice,http://release.niem.gov/niem/domains/jxdm/5.0/,no,yes
3.0,m,maritime,3,Domain,Maritime,http://release.niem.gov/niem/domains/maritime/3.0/,no,yes
3.0,mmucc,mmucc,3,External,"Source: Model Minimum Uniform Crash Criteria (MMUCC); Publication: MMUCC Guideline - Model Minimum Uniform Crash Criteria - 3rd Edition; 
Version: 3.0; 
Date: 2012; 
Source Updates: 31 Oct 2006;  ",http://release.niem.gov/niem/codes/mmucc/3.0/,no,yes
3.0,nc,niem-core,3,Core,NIEM Core.,http://release.niem.gov/niem/niem-core/3.0/,no,yes
3.0,ncic,fbi_ncic,3,External,"FBI code lists for the National Crime and Information Center (NCIC-2000).
Source: FBI Crminal Justice Information Systems (CJIS) Division; 
Publication: leo.gov database; 
https://www.leo.gov",http://release.niem.gov/niem/codes/fbi_ncic/3.0/,no,yes
3.0,ndex,fbi_ndex,3,External,"Source: FBI Crminal Justice Information Systems (CJIS) Division; 
Publication: National Data Exchange (N-Dex) Specification (a NIEM IEPD); 
Version: 2.2; 
Date: 2013; 
http://www.it.ojp.gov/framesets/iepd-clearinghouse-noClose.htm",http://release.niem.gov/niem/codes/fbi_ndex/3.0/,no,yes
3.0,nga,nga_datum,3,External,"Source: National Geospatial-Intelligence Agency; 
Publication: Temporal Spatial Positioning Information (TSPI) ; 
Version: 2.0; 
Date: 1 Mar 2012;   
http://metadata.ces.mil/dse/ns/GSIP/tspi/2.0.0/tspi-core.xsd",http://release.niem.gov/niem/codes/nga_datum/3.0/,no,yes
3.0,niem-xs,xs,3,Proxy,Proxy types that carry dictionary metadata and have XML data type simple contents.,http://release.niem.gov/niem/proxy/xsd/3.0/,no,yes
3.0,nlets,nlets,3,External,"Source: The International Justice & Public Safety Information Sharing Network; 
Publication: NLETS User and Technical Guide; 
Date: 2006;   
http://www.nlets.org/",http://release.niem.gov/niem/codes/nlets/3.0/,no,yes
3.0,occs,occs_facility,3,External,"OmniClass; 
Publication: OCCS Table 11; 
Date: 30 Oct 2012;   
http://www.omniclass.org/tables.asp",http://release.niem.gov/niem/codes/occs_facility/3.0/,no,yes
3.0,sar,sar,3,External,"Source: PM Information Sharing Environment (ISE); 
Publication: SE-FS-200-version-1.5 Suspicious Activity Reporting (SAR); 
Version: 1.5; 
Date: 25 Aug 2009;   http://niem.gtri.gatech.edu/niemtools/iepdt/display/container.iepd?ref=ntsXeIX7M6Q%3D",http://release.niem.gov/niem/codes/pmise_sar/3.0/,no,yes
3.0,scr,screening,3,Domain,The People Screening domain provides harmonized information sharing content within the Screening Portfolio of DHS.  The Screening namespace is initially being populated with person screening information for immigrant and non-immigrant person types who have been encountered and identified by the Screening Portfolio Components.  Screening expands on encounter-related NIEM elements currently included,http://release.niem.gov/niem/domains/screening/3.0/,no,yes
3.0,structures,structures,3,Structures,Schema constructs for use by NIEM-conformant schemas to provide consistent definitions and functionality.,http://release.niem.gov/niem/structures/3.0/,no,yes
3.0,ucr,fbi_ucr,3,External,"Crime reporting codes from Uniform Crime Reporting.
Source: FBI Crminal Justice Information Systems (CJIS) Division; 
Publication: CJIS Div UCR Program - 
NIBRS Technical Specification; 
Version: 1.0; 
Date: 16 April 2012; 
http://www.fbi.gov/about-us/cjis/ucr/nibrs_technical_specification_version_1.0_final_04-16-2012.pdf",http://release.niem.gov/niem/codes/fbi_ucr/3.0/,no,yes
3.0,unece,unece_rec20-misc,3,External,"Miscellaneous unit of measure codes.
Source: UN Economic Commission for Europe (UNECE); 
Publication: UNECE Recommendation No. 20 Revision 8; 
Version: Revision 8; 
Date: 2012; 
http://www.unece.org/tradewelcome/areas-of-work/un-centre-for-trade-facilitation-and-e-business-uncefact/outputs/cefactrecommendationsrec-index/list-of-trade-facilitation-recommendations-n-16-to-20.html",http://release.niem.gov/niem/codes/unece_rec20/3.0/,no,yes
3.0,usps,usps_states,3,External,"Source: U.S. Postal Service (USPS); 
Publication: Official USPS Abbreviations, Appendix B; 
Date: 2012;   
http://pe.usps.com/text/pub28/28apb.htm",http://release.niem.gov/niem/codes/usps_states/3.0/,no,yes
3.0,xCard,xCard,3,External,"vCard XML representation, IETF RFC 6351",http://release.niem.gov/niem/codes/xCard/3.0/,no,yes
3.0,xhtml,,1,Structures,"The Extensible HyperText Markup Language, a family of current and future document types and modules that reproduce, subset, and extend HTML 4.",http://www.w3.org/1999/xhtml,no,no
3.0,xml,,3,External,The XML Namespace,,no,yes
3.0,xs,,1,Structures,"The XML Schema definition language, which offers facilities for describing the structure and constraining the contents of XML documents.",http://www.w3.org/2001/XMLSchema,no,no
