Release,QualifiedType,QualifiedProperty,MinOccurs,MaxOccurs,Definition
3.0,j:ActivityReferralAssociationType,j:ActivityReferralAssociationAugmentationPoint,0,unbounded,
3.0,j:ActivityReleaseAssociationType,nc:Activity,0,unbounded,
3.0,j:ActivityReleaseAssociationType,nc:Release,0,unbounded,
3.0,j:ActivityReleaseAssociationType,nc:Facility,0,unbounded,
3.0,j:ActivityReleaseAssociationType,nc:Organization,0,unbounded,
3.0,j:ActivityReleaseAssociationType,j:Subject,0,unbounded,
3.0,j:ActivityReleaseAssociationType,j:ActivityOfficial,0,unbounded,
3.0,j:ActivityReleaseAssociationType,j:ActivityReleaseAssociationAugmentationPoint,0,unbounded,
3.0,scr:ActivityRequestClassificationType,scr:ActivityRequestDescriptionText,0,unbounded,
3.0,scr:ActivityRequestClassificationType,scr:ActivityRequestCategory,0,unbounded,
3.0,scr:ActivityRequestClassificationType,scr:ActivityRequestClassificationAugmentationPoint,0,unbounded,
3.0,scr:ActivityResponseClassificationType,scr:ActivityResponseDescriptionText,0,unbounded,
3.0,scr:ActivityResponseClassificationType,scr:ActivityResponseCategory,0,unbounded,
3.0,scr:ActivityResponseClassificationType,scr:ActivityResponseClassificationAugmentationPoint,0,unbounded,
3.0,scr:ActivityResultsClassificationType,scr:ActivityResultsDescriptionText,0,unbounded,
3.0,scr:ActivityResultsClassificationType,scr:ActivityResultsCategory,0,unbounded,
3.0,scr:ActivityResultsClassificationType,scr:ActivityResultsClassificationAugmentationPoint,0,unbounded,
3.0,j:ActivitySanctionAssociationType,nc:Activity,0,unbounded,
3.0,j:ActivitySanctionAssociationType,j:Sanction,0,unbounded,
3.0,j:ActivitySanctionAssociationType,j:ActivitySanctionAssociationAugmentationPoint,0,unbounded,
3.0,nc:ActivityScheduleAssociationType,nc:Activity,0,unbounded,
3.0,nc:ActivityScheduleAssociationType,nc:ScheduleDay,0,unbounded,
3.0,nc:ActivityScheduleAssociationType,nc:ActivityScheduleAssociationAugmentationPoint,0,unbounded,
3.0,j:ActivitySentenceComputationAssociationType,nc:Activity,0,unbounded,
3.0,j:ActivitySentenceComputationAssociationType,j:SentenceComputation,0,unbounded,
3.0,j:ActivitySentenceComputationAssociationType,j:ActivitySentenceComputationAssociationAugmentationPoint,0,unbounded,
3.0,j:ActivityServiceCallAssociationType,nc:Activity,0,unbounded,
3.0,j:ActivityServiceCallAssociationType,j:ServiceCall,0,unbounded,
3.0,j:ActivityServiceCallAssociationType,j:ActivityServiceCallAssociationAugmentationPoint,0,unbounded,
3.0,nc:ActivitySiteAssociationType,nc:Site,0,unbounded,
3.0,nc:ActivitySiteAssociationType,nc:Activity,0,unbounded,
3.0,nc:ActivitySiteAssociationType,nc:ActivitySiteAssociationAugmentationPoint,0,unbounded,
3.0,j:ActivitySubjectAssociationType,nc:Activity,0,unbounded,
3.0,j:ActivitySubjectAssociationType,j:Subject,0,unbounded,
3.0,j:ActivitySubjectAssociationType,j:ActivitySubjectAssociationAugmentationPoint,0,unbounded,
3.0,j:ActivityTelephoneNumberAssociationType,nc:TelephoneNumber,0,unbounded,
3.0,j:ActivityTelephoneNumberAssociationType,nc:Activity,0,unbounded,
3.0,j:ActivityTelephoneNumberAssociationType,j:ActivityTelephoneNumberAssociationAugmentationPoint,0,unbounded,
3.0,nc:ActivityType,nc:ActivityIdentification,0,unbounded,
3.0,nc:ActivityType,nc:ActivityCategoryText,0,unbounded,
3.0,nc:ActivityType,nc:ActivityDateRepresentation,0,unbounded,
3.0,nc:ActivityType,nc:ActivityDescriptionText,0,unbounded,
3.0,nc:ActivityType,nc:ActivityName,0,unbounded,
3.0,nc:ActivityType,nc:ActivityStatus,0,unbounded,
3.0,nc:ActivityType,nc:ActivityReasonText,0,unbounded,
3.0,nc:ActivityType,nc:ActivityDisposition,0,unbounded,
3.0,nc:ActivityType,nc:ActivityAugmentationPoint,0,unbounded,
3.0,j:ActivityUnitAssociationType,nc:Activity,0,unbounded,
3.0,j:ActivityUnitAssociationType,j:EnforcementOfficialUnit,0,unbounded,
3.0,j:ActivityUnitAssociationType,j:ActivityUnitAssociationAugmentationPoint,0,unbounded,
3.0,j:ActivityVictimAssociationType,nc:Activity,0,unbounded,
3.0,j:ActivityVictimAssociationType,j:Victim,0,unbounded,
3.0,j:ActivityVictimAssociationType,j:ActivityVictimAssociationAugmentationPoint,0,unbounded,
3.0,j:ActivityWarrantAssociationType,nc:Activity,0,unbounded,
3.0,j:ActivityWarrantAssociationType,j:Warrant,0,unbounded,
3.0,j:ActivityWarrantAssociationType,j:Subject,0,unbounded,
3.0,j:ActivityWarrantAssociationType,j:ActivityWarrantAssociationAugmentationPoint,0,unbounded,
3.0,j:ActivityWitnessAssociationType,nc:Activity,0,unbounded,
3.0,j:ActivityWitnessAssociationType,j:Witness,0,unbounded,
3.0,j:ActivityWitnessAssociationType,j:ActivityWitnessAssociationAugmentationPoint,0,unbounded,
3.0,it:AdditionalDocumentType,it:AdditionalDocumentName,0,unbounded,
3.0,it:AdditionalDocumentType,it:AdditionalDocumentRefNumberID,0,unbounded,
3.0,it:AdditionalDocumentType,nc:Address,0,unbounded,
3.0,it:AdditionalDocumentType,it:AdditionalDocumentCategory,0,unbounded,
3.0,it:AdditionalDocumentType,it:AdditionalDocumentAugmentationPoint,0,unbounded,
3.0,it:AdditionalInformationType,it:AdditionalStatementDescriptionText,0,unbounded,
3.0,it:AdditionalInformationType,it:AdditionalStatementCategoryCodeText,0,unbounded,
3.0,it:AdditionalInformationType,it:InspectionRequestDate,0,unbounded,
3.0,it:AdditionalInformationType,it:CertificateContentText,0,unbounded,
3.0,it:AdditionalInformationType,scr:CountrySubdivisionName,0,unbounded,
3.0,it:AdditionalInformationType,scr:CountrySubdivisionCategory,0,unbounded,
3.0,it:AdditionalInformationType,it:AdditionalInformationAugmentationPoint,0,unbounded,
3.0,scr:AddressAugmentationType,scr:AddressIdentification,0,unbounded,
3.0,scr:AddressAugmentationType,scr:AddressClassification,0,unbounded,
3.0,scr:AddressAugmentationType,scr:INSLookoutIndicator,0,unbounded,
3.0,scr:AddressAugmentationType,scr:CountryNameID,0,unbounded,
3.0,it:AddressAugmentationType,it:LocationCountrySubEntityName,0,unbounded,
3.0,it:AddressAugmentationType,it:LocationCountrySubEntityIdentification,0,unbounded,
3.0,scr:AddressAugmentationType,scr:CountryNameBeginDate,0,unbounded,
3.0,scr:AddressAugmentationType,scr:CountryNameEndDate,0,unbounded,
3.0,scr:AddressAugmentationType,scr:CountrySubdivisionID,0,unbounded,
3.0,scr:AddressAugmentationType,scr:CountrySubdivisionNameID,0,unbounded,
3.0,scr:AddressAugmentationType,scr:CountrySubdivisionNameBeginDate,0,unbounded,
3.0,scr:AddressAugmentationType,scr:CountrySubdivisionNameEndDate,0,unbounded,
3.0,scr:AddressAugmentationType,scr:CountrySubdivisionName,0,unbounded,
3.0,scr:AddressAugmentationType,scr:CountrySubdivisionCategoryDescriptionText,0,unbounded,
3.0,scr:AddressAugmentationType,scr:LocationBlockGroupText,0,unbounded,
3.0,scr:AddressAugmentationType,scr:LocationCarrierRouteText,0,unbounded,
3.0,scr:AddressAugmentationType,scr:LocationTractText,0,unbounded,
3.0,scr:AddressAugmentationType,scr:LocationBuildingUnitName,0,unbounded,
3.0,scr:AddressAugmentationType,scr:LocationBuildingUnitNumberText,0,unbounded,
3.0,scr:AddressAugmentationType,scr:CountrySubdivisionCategory,0,unbounded,
3.0,scr:AddressAugmentationType,scr:LocationElement,0,unbounded,
3.0,scr:AddressClassificationType,scr:AddressClassificationCategoryDescriptionText,0,unbounded,
3.0,scr:AddressClassificationType,scr:AddressClassificationCategory,0,unbounded,
3.0,scr:AddressClassificationType,scr:AddressClassificationAugmentationPoint,0,unbounded,
3.0,nc:AddressGridType,nc:AddressGridID,0,unbounded,
3.0,nc:AddressGridType,nc:AddressGridText,0,unbounded,
3.0,nc:AddressGridType,nc:AddressGridAugmentationPoint,0,unbounded,
3.0,nc:AddressType,nc:AddressFullText,0,unbounded,
3.0,nc:AddressType,nc:AddressPrivateMailboxText,0,unbounded,
3.0,nc:AddressType,nc:AddressSecondaryUnitText,0,unbounded,
3.0,nc:AddressType,nc:AddressDeliveryPoint,0,unbounded,
3.0,nc:AddressType,nc:AddressRecipientName,0,unbounded,
3.0,nc:AddressType,nc:LocationCityName,0,unbounded,
3.0,nc:AddressType,nc:LocationCounty,0,unbounded,
3.0,nc:AddressType,nc:LocationState,0,unbounded,
3.0,nc:AddressType,nc:LocationCountry,0,unbounded,
3.0,nc:AddressType,nc:LocationPostalCode,0,unbounded,
3.0,nc:AddressType,nc:LocationPostalExtensionCode,0,unbounded,
3.0,nc:AddressType,nc:AddressUrbanizationName,0,unbounded,
3.0,nc:AddressType,nc:AddressAugmentationPoint,0,unbounded,
3.0,cyfs:AdoptiveFamilyAssociationType,cyfs:AdoptingParentRelationshipCategory,0,unbounded,
3.0,cyfs:AdoptiveFamilyAssociationType,cyfs:AdoptionPlacedFromText,0,unbounded,
3.0,cyfs:AdoptiveFamilyAssociationType,cyfs:AdoptionPlacementByText,0,unbounded,
3.0,cyfs:AdoptiveFamilyAssociationType,cyfs:JuvenileReceivesSubsidyIndicator,0,unbounded,
3.0,cyfs:AdoptiveFamilyAssociationType,cyfs:SubsidyMonthlyAmount,0,unbounded,
3.0,cyfs:AdoptiveFamilyAssociationType,cyfs:StateInvolvementIndicator,0,unbounded,
3.0,cyfs:AdoptiveFamilyAssociationType,cyfs:TitleIVEAdoptionIndicator,0,unbounded,
3.0,cyfs:AdoptiveFamilyAssociationType,cyfs:AdoptiveFamilyAssociationAugmentationPoint,0,unbounded,
3.0,cyfs:AdoptiveParentChildAssociationType,cyfs:AdoptionDecreeIndicator,0,unbounded,
3.0,cyfs:AdoptiveParentChildAssociationType,im:Orphan,0,unbounded,
3.0,cyfs:AdoptiveParentChildAssociationType,cyfs:AdoptionLocation,0,unbounded,
3.0,cyfs:AdoptiveParentChildAssociationType,scr:FinalAdoptionDecreeIndicator,0,unbounded,
3.0,cyfs:AdoptiveParentChildAssociationType,cyfs:AdoptiveParentChildAssociationAugmentationPoint,0,unbounded,
3.0,intel:AgencyInterestCategoryType,intel:SubjectCategoryCodeText,0,unbounded,
3.0,intel:AgencyInterestCategoryType,intel:FBIECRCode,0,unbounded,
3.0,intel:AgencyInterestCategoryType,intel:StateINACodeText,0,unbounded,
3.0,intel:AgencyInterestCategoryType,intel:AgencyInterestOtherCategory,0,unbounded,
3.0,intel:AgencyInterestCategoryType,intel:AgencyInterestCategoryAugmentationPoint,0,unbounded,
3.0,intel:AgencyInterestOtherCategoryType,intel:AgencyInterestCategoryText,0,unbounded,
3.0,intel:AgencyInterestOtherCategoryType,intel:AgencyInterestCategoryCodeText,0,unbounded,
3.0,intel:AgencyInterestOtherCategoryType,intel:AgencyInterestCategoryDescriptionText,0,unbounded,
3.0,intel:AgencyInterestOtherCategoryType,intel:AgencyInterestOtherCategoryAugmentationPoint,0,unbounded,
3.0,intel:AgencySubjectHandlingType,intel:AgencySubjectHandlingFBICodeText,0,unbounded,
3.0,intel:AgencySubjectHandlingType,intel:SubjectHandling,0,unbounded,
3.0,intel:AgencySubjectHandlingType,intel:AgencySubjectHandlingAugmentationPoint,0,unbounded,
3.0,intel:AgencySubjectInterestType,intel:AgencyName,0,unbounded,
3.0,intel:AgencySubjectInterestType,intel:AgencyInterestCategory,0,unbounded,
3.0,intel:AgencySubjectInterestType,intel:AgencySubjectHandling,0,unbounded,
3.0,intel:AgencySubjectInterestType,intel:SubjectReasonOnListText,0,unbounded,
3.0,intel:AgencySubjectInterestType,intel:SubjectCautionInformation,0,unbounded,
3.0,intel:AgencySubjectInterestType,intel:AgencySubjectInterestAugmentationPoint,0,unbounded,
3.0,scr:AgentAssociationType,scr:AgentPerson,0,unbounded,
3.0,scr:AgentAssociationType,scr:AgentPersonRole,0,unbounded,
3.0,scr:AgentAssociationType,scr:AgentAssociationAugmentationPoint,0,unbounded,
3.0,it:AgentType,it:AgentIdentification,0,unbounded,
3.0,it:AgentType,it:AgentQualityAssuranceIndicator,0,unbounded,
3.0,it:AgentType,it:AgentStatusCodeText,0,unbounded,
3.0,it:AgentType,it:AgentStatusText,0,unbounded,
3.0,it:AgentType,it:AgentAuthorizationIDCategory,0,unbounded,
3.0,it:AgentType,it:RoleOfParty,0,unbounded,
3.0,it:AgentType,it:AgentAugmentationPoint,0,unbounded,
3.0,scr:AircraftFlightPlanSummaryAssociationType,scr:FlightPlanSummary,0,unbounded,
3.0,scr:AircraftFlightPlanSummaryAssociationType,nc:Aircraft,0,unbounded,
3.0,scr:AircraftFlightPlanSummaryAssociationType,it:Carrier,0,unbounded,
3.0,scr:AircraftFlightPlanSummaryAssociationType,scr:AircraftFlightPlanSummaryAssociationAugmentationPoint,0,unbounded,
3.0,nc:AircraftType,nc:AircraftTailIdentification,0,unbounded,
3.0,nc:AircraftType,nc:AircraftMake,0,unbounded,A manufacturer of an aircraft.
3.0,nc:AircraftType,nc:AircraftModel,0,unbounded,A specific design or kind of aircraft made by a manufacturer.
3.0,nc:AircraftType,nc:AircraftStyle,0,unbounded,A style of an aircraft.
3.0,nc:AircraftType,nc:AircraftFuselageColor,0,unbounded,
3.0,nc:AircraftType,nc:AircraftWingColor,0,unbounded,
3.0,nc:AircraftType,nc:AircraftBaseAirport,0,unbounded,
3.0,nc:AircraftType,nc:AircraftAugmentationPoint,0,unbounded,
3.0,nc:AirportType,nc:AirportCodeDesignator,0,unbounded,
3.0,nc:AirportType,nc:AirportAugmentationPoint,0,unbounded,
3.0,em:AlarmConfirmationType,em:AlarmConfirmationMethodDescriptionText,0,unbounded,
3.0,em:AlarmConfirmationType,em:AlarmConfirmationCallPrivacyBypassPasscodeText,0,unbounded,
3.0,em:AlarmConfirmationType,em:AlarmConfirmationCallToPremisesIndicator,0,unbounded,
3.0,em:AlarmConfirmationType,em:AlarmConfirmationCallToPremisesResultsDescriptionText,0,unbounded,
3.0,em:AlarmConfirmationType,em:AlarmConfirmationAugmentationPoint,0,unbounded,
3.0,em:AlarmEventType,em:AlarmEventCategory,0,unbounded,
3.0,em:AlarmEventType,em:AlarmEventCallBackTelephoneNumber,0,unbounded,
3.0,em:AlarmEventType,em:AlarmEventLocationCategory,0,unbounded,
3.0,em:AlarmEventType,em:AlarmAudibleIndicator,0,unbounded,
3.0,em:AlarmEventType,em:AlarmEventDetailsText,0,unbounded,
3.0,em:AlarmEventType,em:AlarmEventRequestorReceiveDate,0,unbounded,
3.0,em:AlarmEventType,em:AlarmEventCallPrivacyBypassCodeText,0,unbounded,
3.0,em:AlarmEventType,em:AlarmEventCallToPremisesIndicator,0,unbounded,
3.0,em:AlarmEventType,em:AlarmEventPermit,0,unbounded,
3.0,em:AlarmEventType,em:AlarmEventResponseAction,0,unbounded,
3.0,em:AlarmEventType,em:AlarmEventDispatchAgency,0,unbounded,
3.0,em:AlarmEventType,em:AlarmEventAugmentationPoint,0,unbounded,
3.0,em:AlarmPermitType,em:PermitCategoryText,0,unbounded,
3.0,em:AlarmPermitType,em:PermitIdentification,0,unbounded,
3.0,em:AlarmPermitType,em:AlarmPermitAugmentationPoint,0,unbounded,
3.0,em:AlarmType,em:AlarmAudibleIndicator,0,unbounded,
3.0,em:AlarmType,em:AlarmAudibleDescriptionCode,0,unbounded,
3.0,em:AlarmType,em:AlarmCallBackTelephoneNumber,0,unbounded,
3.0,em:AlarmType,em:AlarmCategory,0,unbounded,
3.0,em:AlarmType,em:AlarmDetailsText,0,unbounded,
3.0,em:AlarmType,em:AlarmDispatchActivity,0,unbounded,
3.0,em:AlarmType,em:AlarmDispatchAgency,0,unbounded,
3.0,em:AlarmType,em:AlarmMonitoringServiceProvider,0,unbounded,
3.0,em:AlarmType,em:AlarmMonitoringServiceProviderReceiveDateTime,0,unbounded,
3.0,em:AlarmType,em:AlarmRequestedResponseActionDescriptionText,0,unbounded,
3.0,em:AlarmType,em:AlarmAugmentationPoint,0,unbounded,
3.0,edxl-cap:AlertAdapterType,cap:alert,0,unbounded,CAP Alert Message (version 1.1)
3.0,em:AlertAffectedLocationType,nc:PolygonCoordinate,0,unbounded,
3.0,em:AlertAffectedLocationType,em:Ceiling,0,unbounded,
3.0,em:AlertAffectedLocationType,em:AlertAffectedLocationAugmentationPoint,0,unbounded,
3.0,scr:AlertAugmentationType,scr:AlertReceivedDate,0,unbounded,
3.0,scr:AlertAugmentationType,scr:AlertCategoryClassification,0,unbounded,
3.0,em:AlertEventDetailsType,em:AlertEventDetailsAudienceDescriptionText,0,unbounded,
3.0,em:AlertEventDetailsType,em:AlertEventDetailsCategory,0,unbounded,
3.0,em:AlertEventDetailsType,em:AlertEventDetailsCertainty,0,unbounded,
3.0,em:AlertEventDetailsType,em:AlertEventDetailsDescriptionText,0,unbounded,
3.0,em:AlertEventDetailsType,em:AlertEventDetailsHeadlineText,0,unbounded,
3.0,em:AlertEventDetailsType,em:AlertEventDetailsInstructionsDescriptionText,0,unbounded,
3.0,em:AlertEventDetailsType,em:AlertEventDetailsOnsetDateTime,0,unbounded,
