Release,PropertyNS,PropertyName,QualifiedType,Definition,SubstitutionGroupQualifiedProperty,IsElement,IsAbstract,Keywords,ExampleContent,UsageInfo,QualifiedProperty
3.0,j,ActivityInformationApproverAssociation,nc:ActivityPersonAssociationType,An association between an activity and a person who approved information for that activity.,,TRUE,FALSE,,,,j:ActivityInformationApproverAssociation
3.0,nc,ActivityInformationClearerOrganizationAssociation,nc:ActivityOrganizationAssociationType,An association between an activity and an organization that cleared information for that activity.,,TRUE,FALSE,,,,nc:ActivityInformationClearerOrganizationAssociation
3.0,j,ActivityInformationOwnerAssociation,nc:ActivityPersonAssociationType,An association between an activity and a person who owns the information regarding that activity.,,TRUE,FALSE,,,,j:ActivityInformationOwnerAssociation
3.0,j,ActivityInformationReleaserAssociation,nc:ActivityPersonAssociationType,An association between an activity and a person who releases the information about that activity.,,TRUE,FALSE,,,,j:ActivityInformationReleaserAssociation
3.0,j,ActivityInformationReporterAssociation,nc:ActivityPersonAssociationType,An association between an activity and a person who reports information about that activity.,,TRUE,FALSE,,,,j:ActivityInformationReporterAssociation
3.0,j,ActivityInstantMessengerAssociation,j:ActivityInstantMessengerAssociationType,A relationship between an activity and an other contact address.,,TRUE,FALSE,,,,j:ActivityInstantMessengerAssociation
3.0,j,ActivityInstantMessengerAssociationAugmentationPoint,,An augmentation point for ActivityInstantMessengerAssociationType.,,TRUE,TRUE,,,,j:ActivityInstantMessengerAssociationAugmentationPoint
3.0,nc,ActivityInvolvedOrganizationAssociation,nc:ActivityOrganizationAssociationType,An association between an activity and an organization somehow involved in that activity.,,TRUE,FALSE,,,,nc:ActivityInvolvedOrganizationAssociation
3.0,cyfs,ActivityInvolvedPersonAssociationAugmentation,cyfs:ActivityInvolvedPersonAssociationAugmentationType,Additional information about a relationship between an activity and a person involved in that activity.,nc:ActivityPersonAssociationAugmentationPoint,TRUE,FALSE,,,,cyfs:ActivityInvolvedPersonAssociationAugmentation
3.0,nc,ActivityInvolvement,,A data concept for a description of the involvement of an entity in an activity.,,TRUE,TRUE,,,,nc:ActivityInvolvement
3.0,nc,ActivityInvolvementText,nc:TextType,A description of the involvement of an entity in an activity.,nc:ActivityInvolvement,TRUE,FALSE,,,,nc:ActivityInvolvementText
3.0,nc,ActivityItemAssociation,nc:ActivityItemAssociationType,An association between an activity and an item.,,TRUE,FALSE,,,,nc:ActivityItemAssociation
3.0,nc,ActivityItemAssociationAugmentationPoint,,An augmentation point for ActivityItemAssociationType.,,TRUE,TRUE,,,,nc:ActivityItemAssociationAugmentationPoint
3.0,j,ActivityJudgeAssociation,j:ActivityJudgeAssociationType,An association between an activity and a judge.,,TRUE,FALSE,,,,j:ActivityJudgeAssociation
3.0,j,ActivityJudgeAssociationAugmentationPoint,,An augmentation point for ActivityJudgeAssociationType.,,TRUE,TRUE,,,,j:ActivityJudgeAssociationAugmentationPoint
3.0,j,ActivityJudicialOfficialAssociation,nc:ActivityPersonAssociationType,An association between an activity and a judicial official.,,TRUE,FALSE,,,,j:ActivityJudicialOfficialAssociation
3.0,j,ActivityJurisdictionAssociation,j:ActivityJurisdictionAssociationType,An association between an activity and a jurisdiction.,,TRUE,FALSE,,,,j:ActivityJurisdictionAssociation
3.0,j,ActivityJurisdictionAssociationAugmentationPoint,,An augmentation point for ActivityJurisdictionAssociationType.,,TRUE,TRUE,,,,j:ActivityJurisdictionAssociationAugmentationPoint
3.0,j,ActivityLabReceiptAssociation,nc:ActivityDocumentAssociationType,An association between an activity and a lab receipt.,,TRUE,FALSE,,,,j:ActivityLabReceiptAssociation
3.0,j,ActivityLocationAssociation,j:ActivityLocationAssociationType,An association between an activity and a location.,,TRUE,FALSE,,,,j:ActivityLocationAssociation
3.0,j,ActivityLocationAssociationAugmentationPoint,,An augmentation point for ActivityLocationAssociationType.,,TRUE,TRUE,,,,j:ActivityLocationAssociationAugmentationPoint
3.0,cbrn,ActivityName,niem-xs:string,A name of the activity associated with a request. This property can be used to provide data for workflow coordination by the sending or receiving systems.,,TRUE,FALSE,,,,cbrn:ActivityName
3.0,nc,ActivityName,nc:TextType,A name of an activity.,,TRUE,FALSE,,,,nc:ActivityName
3.0,j,ActivityNarrativeDocumentAssociation,nc:ActivityDocumentAssociationType,An association between an activity and a document providing a narrative of that activity.,,TRUE,FALSE,,,,j:ActivityNarrativeDocumentAssociation
3.0,j,ActivityNetworkAddressAssociation,j:ActivityNetworkAddressAssociationType,A relationship between an activity and a network address.,,TRUE,FALSE,,,,j:ActivityNetworkAddressAssociation
3.0,j,ActivityNetworkAddressAssociationAugmentationPoint,,An augmentation point for ActivityNetworkAddressAssociationType.,,TRUE,TRUE,,,,j:ActivityNetworkAddressAssociationAugmentationPoint
3.0,j,ActivityObligationAssociation,j:ActivityObligationAssociationType,An association between an activity and an obligation.,,TRUE,FALSE,,,,j:ActivityObligationAssociation
3.0,j,ActivityObligationAssociationAugmentationPoint,,An augmentation point for ActivityObligationAssociationType.,,TRUE,TRUE,,,,j:ActivityObligationAssociationAugmentationPoint
3.0,j,ActivityOfficial,nc:PersonType,An official associated with an activity,,TRUE,FALSE,,,,j:ActivityOfficial
3.0,j,ActivityOfficialAssociation,nc:ActivityPersonAssociationType,An association between an activity and an official.,,TRUE,FALSE,,,,j:ActivityOfficialAssociation
3.0,nc,ActivityOrganizationAssociationAugmentationPoint,,An augmentation point for ActivityOrganizationAssociationType.,,TRUE,TRUE,,,,nc:ActivityOrganizationAssociationAugmentationPoint
3.0,j,ActivityOriginatingDocumentAssociation,nc:ActivityDocumentAssociationType,An association between an activity and a document that originated it.,,TRUE,FALSE,,,,j:ActivityOriginatingDocumentAssociation
3.0,nc,ActivityPersonAssociation,nc:ActivityPersonAssociationType,An association between a person and an activity in which a person was or may have been involved.,,TRUE,FALSE,,,,nc:ActivityPersonAssociation
3.0,nc,ActivityPersonAssociationAugmentationPoint,,An augmentation point for ActivityPersonAssociationType.,,TRUE,TRUE,,,,nc:ActivityPersonAssociationAugmentationPoint
3.0,nc,ActivityPrimaryOrganizationAssociation,nc:ActivityOrganizationAssociationType,An association between an activity and an organization primarily associated with that activity.,,TRUE,FALSE,,,,nc:ActivityPrimaryOrganizationAssociation
3.0,j,ActivityPrimaryPersonAssociation,nc:ActivityPersonAssociationType,A relationship between an activity and a primary person involved in that activity.,,TRUE,FALSE,,,,j:ActivityPrimaryPersonAssociation
3.0,scr,ActivityPriorityQuantity,nc:NumericType,"A number of the Priority value of the activity, with 0-4 as gradient normal, 4 as the default, and 5-9 as gradient expedited priority.",,TRUE,FALSE,,,,scr:ActivityPriorityQuantity
3.0,scr,ActivityProcessCategory,,A data concept for a kind of activity process.,,TRUE,TRUE,,,,scr:ActivityProcessCategory
3.0,scr,ActivityProcessCategoryCode,scr:ActivityProcessCategoryCodeType,A kind of activity process.,scr:ActivityProcessCategory,TRUE,FALSE,,,,scr:ActivityProcessCategoryCode
3.0,scr,ActivityProcessClassification,scr:ActivityProcessClassificationType,A kind of activity process.,,TRUE,FALSE,,,,scr:ActivityProcessClassification
3.0,scr,ActivityProcessClassificationAugmentationPoint,,An augmentation point for ActivityProcessClassificationType.,,TRUE,TRUE,,,,scr:ActivityProcessClassificationAugmentationPoint
3.0,scr,ActivityProcessDescriptionText,nc:TextType,A description of a kind of activity process.,,TRUE,FALSE,,,,scr:ActivityProcessDescriptionText
3.0,j,ActivityProgramAssociation,j:ActivityProgramAssociationType,An association between an activity and a program.,,TRUE,FALSE,,,,j:ActivityProgramAssociation
3.0,j,ActivityProgramAssociationAugmentationPoint,,An augmentation point for ActivityProgramAssociationType.,,TRUE,TRUE,,,,j:ActivityProgramAssociationAugmentationPoint
3.0,nc,ActivityReasonText,nc:TextType,A reason for an activity.,,TRUE,FALSE,,,,nc:ActivityReasonText
3.0,j,ActivityReferralAssociation,j:ActivityReferralAssociationType,An association between an activity and a referral.,,TRUE,FALSE,,,,j:ActivityReferralAssociation
3.0,j,ActivityReferralAssociationAugmentationPoint,,An augmentation point for ActivityReferralAssociationType.,,TRUE,TRUE,,,,j:ActivityReferralAssociationAugmentationPoint
3.0,nc,ActivityRelationText,nc:TextType,A relationship between activities.,,TRUE,FALSE,,,,nc:ActivityRelationText
3.0,j,ActivityReleaseAssociation,j:ActivityReleaseAssociationType,An association between an activity and a release.,,TRUE,FALSE,,,,j:ActivityReleaseAssociation
3.0,j,ActivityReleaseAssociationAugmentationPoint,,An augmentation point for ActivityReleaseAssociationType.,,TRUE,TRUE,,,,j:ActivityReleaseAssociationAugmentationPoint
3.0,nc,ActivityReportingOrganizationAssociation,nc:ActivityOrganizationAssociationType,An association between an activity and an organization that is reporting to that activity.,,TRUE,FALSE,,,,nc:ActivityReportingOrganizationAssociation
3.0,j,ActivityReportingSupervisorOrganizationAssociation,nc:ActivityOrganizationAssociationType,A relationship between an activity and a supervisor organization.,,TRUE,FALSE,,,,j:ActivityReportingSupervisorOrganizationAssociation
3.0,scr,ActivityRequestCategory,,A data concept for a kind of activity request.,,TRUE,TRUE,,,,scr:ActivityRequestCategory
3.0,scr,ActivityRequestCategoryCode,scr:ActivityRequestCategoryCodeType,A kind of activity request.,scr:ActivityRequestCategory,TRUE,FALSE,,,,scr:ActivityRequestCategoryCode
3.0,scr,ActivityRequestClassification,scr:ActivityRequestClassificationType,A kind of activity request.,,TRUE,FALSE,,,,scr:ActivityRequestClassification
3.0,scr,ActivityRequestClassificationAugmentationPoint,,An augmentation point for ActivityRequestClassificationType.,,TRUE,TRUE,,,,scr:ActivityRequestClassificationAugmentationPoint
3.0,scr,ActivityRequestDescriptionText,nc:TextType,A description of a kind of activity request.,,TRUE,FALSE,,,,scr:ActivityRequestDescriptionText
3.0,scr,ActivityResponseCategory,,A data concept for a kind of activity response.,,TRUE,TRUE,,,,scr:ActivityResponseCategory
3.0,scr,ActivityResponseCategoryCode,scr:ActivityResponseCategoryCodeType,A kind of activity response.,scr:ActivityResponseCategory,TRUE,FALSE,,,,scr:ActivityResponseCategoryCode
3.0,scr,ActivityResponseClassification,scr:ActivityResponseClassificationType,A kind of activity response.,,TRUE,FALSE,,,,scr:ActivityResponseClassification
3.0,scr,ActivityResponseClassificationAugmentationPoint,,An augmentation point for ActivityResponseClassificationType.,,TRUE,TRUE,,,,scr:ActivityResponseClassificationAugmentationPoint
