Release,NamespacePrefix,LocalTerm,Literal,Definition
5.1,biom,ISO,International Organization for Standardization,
5.1,biom,ITL,Information Technology Laboratory,
5.1,biom,MISC,Miscellaneous,
5.1,biom,Mito,Mitochondrial,
5.1,biom,mtDNA,Mitochondrial DNA,
5.1,biom,NCIC,National Crime Information Center,
5.1,biom,NIST,National Institute of Standards and Technology,
5.1,biom,PHD,Photo Capture Date,
5.1,biom,ppi,Pixels per inch,
5.1,biom,ppmm,Pixels per millimeter,
5.1,biom,PUM,Position Uncertainty,
5.1,biom,SBCC,Subject Body Class Code,
5.1,biom,SBSC,Subject Body Status Code,
5.1,biom,SMS,Scar/Mark/Tattoo Size,
5.1,biom,SMT,"Scars, Marks, and Tattoos",
5.1,biom,SNP,single nucleotide polymorphism,
5.1,biom,SPC,Speaker Plurality Code,
5.1,biom,STR,Short tandem repeat,
5.1,biom,TDD,Tooth data detail,
5.1,biom,Tenprint,,"(1) A generic reference to examinations performed on intentionally recorded friction ridge impressions. (2) A controlled recording of an individual’s available fingers using ink, electronic imaging, or other medium."
5.1,biom,TLT,Temporary Line Thickness,
5.1,biom,UTC,Coordinated Universal Time,
5.1,biom,VCD,Vocal content diary,
5.1,biom,VOC,Vocal Content,
5.1,biom,X-STR,Short tandem repeat (STR) on the X-chromosome,
5.1,biom,Y-STR,Short tandem repeat (STR) on the Y-chromosome,
5.1,cbrn,Bio,Biological,
5.1,cbrn,CBP,United States Customs and Border Protection,
5.1,cbrn,CBRNE,"Chemical, Biological, Radiological, Nuclear and high- yield Explosives",
5.1,cbrn,CC,cubic centimeter (cc) units,
5.1,cbrn,Chem,Chemical,
5.1,cbrn,CM,Centimeter,
5.1,cbrn,CPS,Counts per second,
5.1,cbrn,FWHM,Full width at half maximum,
5.1,cbrn,Geo,Geographic,
5.1,cbrn,IDREF,Identifier reference,
5.1,cbrn,IEC,International Electrotechnical Commission,
5.1,cbrn,KeV,Kiloelectronvolts,
5.1,cbrn,kilobecquerel,,A unit of radioactivity equal to one thousand becquerels.
5.1,cbrn,MDA,minimum detectable activity,
5.1,cbrn,MeV,Megaelectron-volt,
5.1,cbrn,microsievert,,"The sievert is the special name for the SI unit of equivalent dose, effective dose, and operational dose quantities. The unit is joule per kilogram.  1 microsievert = 0.000001 sieverts"
5.1,cbrn,microsieverts,,"The sievert is the special name for the SI unit of equivalent dose, effective dose, and operational dose quantities. The unit is joule per kilogram.  1 microsievert = 0.000001 sieverts"
5.1,cbrn,milliroentgen,,"A unit of exposure to ionizing radiation, one thousandth of a roentgen."
5.1,cbrn,MIME,Multipurpose Internet Mail Extensions,
5.1,cbrn,mR,milliroentgen,
5.1,cbrn,mRh,milliroentgen per hour (mR/h),
5.1,cbrn,N42,,The ANSI/IEEE N42.42 standard specifies the XML data format that shall be used for both required and optional data to be made available by radiation measurement instruments.
5.1,cbrn,n42Doc,N42 XML document,
5.1,cbrn,Reachback,,"A process by which commanders, their staffs and deployed forces may be provided with timely, coordinated and authoritative advice on Chemical, Biological, Radiological and Nuclear issues, drawing upon remote expert sources of information."
5.1,cbrn,UID,Unique Identifier,
5.1,cbrn,uSv,microsieverts,
5.1,cbrn,uSvh,microsieverts per hour (uSv/h),
5.1,cbrn,UTF8,UCS Transformation Format—8-bit,
5.1,cbrn,UUID,Universally Unique Identifier,
5.1,cbrn,WGS-84,,The standard U.S. Department of Defense definition of a global reference system for geospatial information and the reference system for the Global Positioning System (GPS).
5.1,cbrn,X,The first dimension,
5.1,cbrn,XY,A two dimensional array or pair of values for a data point,
5.1,cbrncl,CBRN,"Chemical, Biological, Radiological and Nuclear",
5.1,cbrncl,CFR,,Code of Federal Regulations
5.1,cbrncl,GNDA,Global Nuclear Detection Architecture,
5.1,cbrncl,MIME,Multipurpose Internet Mail Extensions,
5.1,cbrncl,Reachback,,"A process by which commanders, their staffs and deployed forces may be provided with timely, coordinated and authoritative advice on Chemical, Biological, Radiological and Nuclear issues, drawing upon remote expert sources of information."
5.1,cbrncl,UNECE,United Nations Economic Commission for Europe,
5.1,cbrncl,W3C,World Wide Web Consortium,
5.1,commodity,CFS,Commodity Flow Survey,
5.1,commodity,SCTG,Standard Classification of Transported Goods,
5.1,cui,CUI,Controlled Unclassified Information,
5.1,cui,DLONLY,Dissemination List Controlled Only,
5.1,cui,LDC,Limited Dissemination Control,
5.1,cui,RELTO,Releasable To,
5.1,cyber,DNS,Domain Name System,
5.1,cyber,FISMA,Federal Information Security Modernization Act,
5.1,cyber,WFN,well-formed CPE name,
5.1,edxl_rm,EDXL,Emergency Data Exchange Language,
5.1,edxl-have,EDXL,Emergency Data Exchange Language,
5.1,edxl-have,HAVE,Hospital Availability Exchange,
5.1,em,Cat-C,,FEMA Category C: Roads and Bridges
5.1,em,Cat-D,,FEMA Category D: Water Control Facilities
5.1,em,Cat-E,,FEMA Category E: Buildings and Equipment
5.1,em,Cat-F,,FEMA Category F: Utilities
5.1,em,CATG,,"FEMA Category G: Parks, Recreation, and Other"
5.1,em,Cat-G,,"FEMA Category G: Parks, Recreation, and Other"
5.1,em,CRS,Community Rating System,
5.1,em,Decon,Decontamination,
5.1,em,EMS,Emergency Medical Service,
5.1,em,EOC,Emergency Operations Center,
5.1,em,EPM,Emergency Protective Measures,
5.1,em,ESF,Emergency Support Function,
5.1,em,FEMA,Federal Emergency Management Agency,
5.1,em,FIPS,Federal Information Processing Standards,
5.1,em,FIPS201,,FIPS 201 is a United States federal government standard that specifies Personal Identity Verification requirements for Federal employees and contractors.
5.1,em,Geo,geo-coded,
5.1,em,ICD,International Classification of Diseases,
5.1,em,IEC,International Electrotechnical Commission,
5.1,em,IMS,Incident Management System,
5.1,em,LCR,"License, certificate or registration",
5.1,em,MF,Multi-family,
5.1,em,MH,Manufactured home,
5.1,em,NFIP,National Flood Insurance Program,
5.1,em,NIST,National Institute of Standards and Technology,
5.1,em,NISTSP800733,,NIST Special Publication 800-73-3 Interfaces for Personal Identity Verification
5.1,em,NPI,National Provider ID,
5.1,em,NRCS,Natural Resources Conservation Service,
5.1,em,OBGYN,Obstetrics & Gynecology,
5.1,em,Passcode,,A numeric password.
5.1,em,PHEOC,Public Health Emergency Operations Centers,
5.1,em,PIV,Personal Identity Verification,
5.1,em,PSAP,Public Safety Answering Point,
5.1,em,RGB,Red Green Blue,
5.1,em,SFHA,Special Flood Hazard Area,
5.1,em,SFHAs,Special Flood Hazard Areas,
5.1,em,SOP,Standard Operating Procedures,
5.1,em,SP,Special Publication,
5.1,em,URN,Uniform Resource Name,
5.1,em,USACE,United States Army Corps of Engineers,
5.1,em,X509,,X.509 is a standard defining the format of public key certificates.
5.1,fema,CRS,Community Rating System,
5.1,fema,SFHA,Special Flood Hazard Area,
5.1,genc,Alpha2,,Two-letter
5.1,genc,Alpha3,,Three-letter
5.1,geo,GML,Geography Markup Language,
5.1,geo,Multi,,one or more
5.1,geo,OGC,Open Geospatial Consortium,
5.1,have-codes,Decon,Decontamination,
5.1,have-codes,EMS,Emergency Medical Service,
5.1,have-codes,EOC,Emergency Operations Center,
5.1,hazmat,UN,United Nations,
5.1,hs,AFCARS,Adoption and Foster Care Analysis and Reporting System (AFCARS),
5.1,hs,ASFA,Adoption and Safe Families Act,
5.1,hs,CFR,,Code of Federal Regulations
5.1,hs,Comp,Compensation,
5.1,hs,EBT,Electronic Benefit Transfer,
5.1,hs,FEIN,Federal Employer Identification Number,
5.1,hs,FIPS,Federal Information Processing Series,
5.1,hs,firesetting,,A behavior that includes setting fires both accidentally and intentionally.
5.1,hs,FS,Food Stamps,
5.1,hs,habilitative,,"Habilitative services help a person keep, learn, or improve skills and functioning for daily living."
5.1,hs,ICPC,Interstate Compact on the Placement of Children,
5.1,hs,ICWA,Indian Child Welfare Act,
5.1,hs,IV-D,,Title IV-D of the Social Security Act
5.1,hs,IV-E,,Title IV-E of the Social Security Act addressing Federal Payments for Foster Care and Adoption Assistance.
5.1,hs,NCANDS,National Child Abuse and Neglect Data System,
5.1,hs,NCIC,National Crime Information Center,
5.1,hs,NCP,Noncustodial parent,
5.1,hs,NPI,National Provider Identifier,
5.1,hs,PARIS,Public Assistance Reporting Information System,
5.1,hs,Polyvictimization,,Multiple victimizations of a person
5.1,hs,SSA,Social Security Administration,
5.1,hs,SSI,Supplemental Security Income,
5.1,hs,SSN,Social Security Number,
5.1,hs,TANF,Temporary Assistance to Needy Families,
5.1,hs,UCCJEA,Uniform Child Custody Jurisdiction and Enforcement Act,
5.1,hs,VA,Veterans Affairs,
5.1,im,CIS,Citizenship and Immigration Service,
5.1,im,DS,Department of State,
5.1,im,EV,Exchange Visitor,
5.1,im,F1,F-1 visa,
5.1,im,F2,F-2 visa,
5.1,im,Hague,,"The Hague is the seat of government in the Netherlands, and the capital city of the province of South Holland."
5.1,im,I20s,Form I-20,
5.1,im,ICE,Immigration and Customs Enforcement,
5.1,im,J2,J-2 visa,
5.1,im,K9,canine,
5.1,im,M1,M1 visa,
5.1,im,M2,M2 visa,
5.1,im,PIN,Personal Identification Number,
5.1,im,PL94-484,Public Law 94-484,
5.1,im,SEVIS,Student and Exchange Visitor Information System,
5.1,im,SSN,Social Security Number,
5.1,im,USCIS,United States Citizenship and Immigration Services,
5.1,intel,Alpha2,,Two-letter
5.1,intel,Alpha3,,Three-letter
5.1,intel,CBEFF,Common Biometric Exchange Formats Framework,
5.1,intel,ECR,(Threat Group Member) Criteria for Entry,
5.1,intel,FBI,Federal Bureau of Investigation,
5.1,intel,FIPS,Federal Information Processing Standards,
5.1,intel,FIPS10-4,,"The FIPS 10-4 standard, Countries, Dependencies, Areas of Special Sovereignty, and Their Principal Administrative Divisions, was a list of two-letter country codes that were used by the U.S. Government for geographical data processing in many publications."
5.1,intel,ICMWG,Intelligence Community Metadata Working Group,
5.1,intel,INA,Immigration and Nationality Act,
5.1,intel,ISO,International Organization for Standardization,
5.1,intel,ISO3166,,"ISO 3166 is a standard published by the International Organization for Standardization (ISO) that defines codes for the names of countries, dependent territories, special areas of geographical interest, and their principal subdivisions (e.g., provinces or states). The official name of the standard is Codes for the representation of names of countries and their subdivisions."
5.1,intel,NCTC,National Counterterrorism Center,
5.1,intel,VGTOF,Violent Gang and Terrorist Organizations File,
5.1,iso_3166,Alpha2,,Two-letter
5.1,iso_3166,Alpha3,,Three-letter
5.1,it,ChA1,HMRC Charity application form,
5.1,it,CHAI,HMRC Charity application form,
5.1,it,Deconsolidator,,"A receiving party of a consolidated shipment, who divides the latter into its original single consignments and undertakes to make them available to be delivered."
5.1,it,EMS,Emergency Medical Service,
5.1,it,FTZ,Foreign Trade Zone,
5.1,it,HTS,Harmonized Tariff Schedule,
5.1,it,IATA,International Air Transport Association,
5.1,it,IMO,International Maritime Organization,
5.1,it,INCOTERMS,International Commercial Terms,
5.1,it,ISO,International Organization for Standardization,
5.1,it,ISO6346,,"ISO 6346 is an international standard covering the coding, identification and marking of intermodal (shipping) containers used within containerized intermodal freight transport."
5.1,it,MFA,Multi Fibre Arrangement,
5.1,it,NTN,National Training Numbers,
5.1,it,SCAC,Standard Carrier Alpha Code,
5.1,it,Transhipment,,"The shipment of goods or containers to an intermediate destination, then to another destination."
5.1,it,UCR,Unique Customs Reference,
5.1,it,UNDG,United Nations Development Group,
5.1,it,VIR,Vehicle Inspection Report,
5.1,it,WCO,World Customs Organization,
5.1,itcodes,ISO,International Organization for Standardization,
5.1,itcodes,ISO6346,,"ISO 6346 is an international standard covering the coding, identification and marking of intermodal (shipping) containers used within containerized intermodal freight transport."
5.1,itcodes,UNECE,United Nations Economic Commission for Europe,
5.1,j,AAMVA,The American Association of Motor Vehicle Administrators,
5.1,j,ACD,AAMVA Code Dictionary,
5.1,j,ADA,Americans with Disabilities Act,
5.1,j,AFIS,Automated Fingerprint Identification System,
5.1,j,Alpha,,Letter(s)
5.1,j,Amber,America's Missing: Broadcast Emergency Response,
5.1,j,ANSID20,"The Data Dictionary for Traffic Record Systems, maintained by AAMVA, the American Association of Motor Vehicle Administrators",
5.1,j,APCO,"Association of Public-Safety Communications Officials (APCO) - International, Inc.",
5.1,j,BAC,Blood Alcohol Concentration,
5.1,j,BOP,Bureau of Prisons,
5.1,j,BPH,Board of Parole Hearings,
5.1,j,Brady,Brady Law,
5.1,j,CDL,Commercial Driver's License,
5.1,j,CFR,,Code of Federal Regulations
5.1,j,CHRI,Criminal History Record Information,
5.1,j,CJIS,Criminal Justice Information System,
5.1,j,CLP,Commercial Learners Permit,
5.1,j,CMV,Commercial Motor Vehicle,
5.1,j,CODIS,Combined DNA Index System,
5.1,j,COMPAS,Correctional Offender Management Profiling for Alternative Sanctions,
5.1,j,DEA,Drug Enforcement Administration,
5.1,j,DHS,Department of Homeland Security,
5.1,j,DMH,Department of Mental Health,
5.1,j,DNA,Deoxyribonucleic acid,
5.1,j,DOT,Department of Transportation,
5.1,j,EMS,Emergency Medical Service,
5.1,j,Enhanceable,,An enhanceable offense means that specific factors can increase the severity level of the offense.
5.1,j,FBI,Federal Bureau of Investigation,
5.1,j,FCN,file control number,
5.1,j,FFL,federal firearms license,
5.1,j,FIPS,Federal Information Processing Standards,
5.1,j,GDEP,Geographic-Drug Enforcement Program,
5.1,j,GVWR,gross vehicle weight rating,
5.1,j,HazMat,Hazardous Materials,
5.1,j,HME,Hazardous Material Endorsement,
5.1,j,HRSO,high risk sex offender,
5.1,j,IAFIS,Integrated Automated Fingerprint Identification System,
5.1,j,IBIS,Integrated Ballistic Identification System,
5.1,j,ICC,Interstate Commerce Commission,
5.1,j,ISBN,International Standard Book Number,
5.1,j,JABS,JABS,Joint Automated Booking System
5.1,j,Keyhea,,"Under the Keyhea injunction, 'involuntary medication' cannot be administered to a state prisoner for more than three days unless the professional staff of the facility in which the prisoner is incarcerated has analyzed the prisoner's condition and found that the prisoner is, as a result of a mental disorder, 'gravely disabled and incompetent to refuse medication or a danger to others, or a danger to self,' and the prisoner has been 'advised of the need for, but has not been willing to accept medication on a voluntary basis.'"
5.1,j,LEOKA,Law Enforcement Officer Killed or Assaulted,
5.1,j,LIS,License Plate State,
5.1,j,Livescan,,"An inkless, electronic means of capturing fingerprints in a digitized format and then transmitting them to a state repository and/or the FBI"
5.1,j,LSTA,,State/Country Index
5.1,j,MACR,Monthly Arrest and Citation Register,
5.1,j,MCMIS,Motor Carrier Management Information System,
5.1,j,MCO,Manufacturer's certificate of origin,
5.1,j,MCSIP,Motor Carrier Safety Improvement Process,
5.1,j,MDO,mentally disordered offender,
5.1,j,MHSDS,Mental Health Services Delivery System,
5.1,j,MMUCC,Model Minimum Uniform Crash Criteria,
5.1,j,MO,Modus Operandi,
5.1,j,ModusOperandi,Mode of operating,
5.1,j,Multi,Multiple,
5.1,j,NCIC,National Crime Information Center,
5.1,j,NCMEC,National Center for Missing & Exploited Children,
5.1,j,NDEx,National Data Exchange,
5.1,j,NDEX,National Data Exchange,
5.1,j,NIBRS,National Incident Based Reporting System,
5.1,j,NICB,National Insurance Crime Bureau,
5.1,j,NICS,National Instant Criminal Background Check System,
5.1,j,NLETS,National Law Enforcement Telecommunication Systems,
5.1,j,OCA,Originating Case Agency,
5.1,j,ORI,,"A nine-character identifier assigned by the FBI Criminal Justice Information Systems (CJIS) staff to an organization, which must have met the established qualifying criteria for ORI assignment to identify the agency in transactions on CJIS Systems."
5.1,j,POST,Peace Official Standards and Training,
5.1,j,Postdirectional,,"A word following a street name that indicates the directional taken by the thoroughfare from an arbitrary starting point or line, or the sector where it is located."
5.1,j,Predirectional,,"A word preceding a street name that indicates the directional taken by the thoroughfare from an arbitrary starting point or line, or the sector where it is located."
5.1,j,PRISM,Performance and Registration Information Systems Management,
5.1,j,REALID,,"Public Law 109–13, 119 Statute 302, enacted May 11, 2005, was an Act of Congress that modified U.S. federal law pertaining to security, authentication, and issuance procedures standards for the state driver's licenses and identification (ID) cards, as well as various immigration issues pertaining to terrorism."
5.1,j,RES,Registration State,
5.1,j,RH,,Rhesus (Rh) factor is an inherited protein found on the surface of red blood cells.
5.1,j,RICO,Racketeer Influenced and Corrupt Organizations,
5.1,j,SAFESTAT,Safety Status Measurement System,
5.1,j,Separatee,A person who must be kept separate from another person.,
5.1,j,SMT,"Scars, Marks, Tattoos, and Other Characteristics",
5.1,j,SSN,Social Security Number,
5.1,j,TCD,traffic control device,
5.1,j,TCN,Transaction Control Number,
5.1,j,TripleI,III - Interstate Identification Index system,
5.1,j,TSA,,Transportation Security Administration
5.1,j,TYP,(Firearm) Type,
5.1,j,TYPA,(Article) Type,
5.1,j,TYPO,(ORI) Type,
5.1,j,UCR,Uniform Crime Reporting,
5.1,j,USDOT,United States Department of Transportation,
5.1,j,USMS,United States Marshal Service,
5.1,j,VICAP,Violent Criminal Apprehension Program,
5.1,j,VIN,Vehicle Identification Number,
5.1,j,VINA,Vehicle Identification Number Analysis,
5.1,j,WHTI,Western Hemisphere Travel Initiative,
5.1,j,XRay,X-Ray,
5.1,j,XRays,X-Rays,
5.1,jp2-0,DoD,Department of Defense,
5.1,jp3-52,ACM,Airspace Coordinating Measure,
5.1,m,Alpha2,,Two-letter
5.1,m,Alpha3,,Three-letter
5.1,m,APR,April,
5.1,m,7-Apr,Apr-07,
5.1,m,BE,Basic Encyclopedia,
5.1,m,CANUS,Canada/USA,
5.1,m,CANUSLexiconAPR07,April 2007 Canada/USA Bi-National Vessel of Interest (VOI) Lexicon,
5.1,m,CDC,Certain Dangerous Cargo,
5.1,m,CFR,,Code of Federal Regulations
5.1,m,COTP,Captain of the Port,
5.1,m,CVSSA,Cruise Vessel Security and Safety Act,
5.1,m,DOC,Document of Compliance,
5.1,m,FIPS,Federal Information Processing Standards,
5.1,m,Helo,helicopter,
5.1,m,HIN,Hull Identification Number,
5.1,m,IMO,International Maritime Organization,
5.1,m,IRCS,International Registered Call Sign,
5.1,m,ISM,International Safety Management,
5.1,m,ISO,International Organization for Standardization,
5.1,m,ISO3166,,"ISO 3166 is a standard published by the International Organization for Standardization (ISO) that defines codes for the names of countries, dependent territories, special areas of geographical interest, and their principal subdivisions (e.g., provinces or states). The official name of the standard is Codes for the representation of names of countries and their subdivisions."
5.1,m,ISPS,International Ship and Port Facility Security,
5.1,m,ISSC,International Ship Security Certificate,
5.1,m,MMSI,Maritime Mobile Service Identity,
5.1,m,NORTHCOM,Northern Command,
5.1,m,SCONUM,Ship Control Number,
5.1,m,TRDM,US Transportation Command (USTRANSCOM) Reference Data Model (TRDM),
5.1,m,UN,United Nations,
5.1,m,UNECE,United Nations Economic Commission for Europe,
5.1,m,UNLOCODE,United Nations Code for Trade and Transport Locations,
5.1,m,USMTF,United States Message Text Format,
5.1,mmucc,BAC,Blood Alcohol Concentration,
5.1,mmucc,GVWR,Gross vehicle weight rating,
5.1,mmucc,GVWRs,Gross vehicle weight rating,
5.1,mmucc,HazMat,Hazardous Materials,
5.1,mmucc,NA,Not applicable,
5.1,mmucc,NR,Not reported,
5.1,mmucc,Trafficway,,A highway or roadway open to traffic.
5.1,mo,Aimpoint,,A point associated with a target and assigned for a specific weapon impact.
5.1,mo,AMETL,Agency Mission Essential Task List,
5.1,mo,ASN,Autonomous System Number,
5.1,mo,CAPEC,Common Attack Pattern Enumeration and Classification,
5.1,mo,CAs,Certificate Authorities,
5.1,mo,CET,Cyber Effectiveness Table,
5.1,mo,CIDR,Classless Inter-domain Routing,
5.1,mo,codespace,,A controlled vocabulary
5.1,mo,COLE,Cyber Operations Lethality and Effectiveness,
5.1,mo,CPE,Common Platform Enumeration,
5.1,mo,CRL,Certificate Revocation List,
5.1,mo,CVE,Common Vulnerabilities and Exposures,
5.1,mo,CWE,Common Weakness Enumeration,
5.1,mo,CYBOX,Cyber Observable eXpression,
5.1,mo,DHCP,Dynamic Host Configuration Protocol,
5.1,mo,DIA,Defense Intelligence Agency,
5.1,mo,DNS,Domain Name System,
5.1,mo,DoD,Department of Defense,
5.1,mo,DSN,Defense Switched Network,
5.1,mo,FISMA,Federal Information Security Modernization Act,
5.1,mo,FMID,Force Management Identifier,
5.1,mo,FQDN,Fully qualified domain name,
5.1,mo,GFM,Global Force Management,
5.1,mo,IC,Intelligence Community,
5.1,mo,JNKE,Joint Non-Kinetics Effectiveness,
5.1,mo,JS,Joint Staff,
5.1,mo,JSON,JavaScript Object Notation,
5.1,mo,JTCG-ME,Joint Technical Coordinating Group for Munitions Effectiveness,
5.1,mo,JWICS,Joint Worldwide Intelligence Communications System,
5.1,mo,MAEC,Malware Attribute Enumeration and Characterization,
5.1,mo,MGRS,Military Grid Reference System,
5.1,mo,MIDB,Modernized Integrated Database,
5.1,mo,MilOps,Military Operations,
5.1,mo,MILSTD,Military Standard,
5.1,mo,MILSTD2525-B,Military Standard 2525 B (MIL-STD-2525B),
5.1,mo,MILSTD2525-C,Military Standard 2525 C (MIL-STD-2525C),
5.1,mo,MILSTD2525-D,Military Standard 2525 D (MIL-STD-2525D),
5.1,mo,NETBIOS,Network Basic Input/Output System,
5.1,mo,NIPR,Non-classified Internet Protocol Router Network,
5.1,mo,NIST,National Institute of Standards and Technology,
5.1,mo,OEM,Operational Environment Model,
5.1,mo,OIDs,Object IDs,
5.1,mo,OPEX,Operation Exercise,
5.1,mo,OSI,Open Systems Interconnection,
5.1,mo,PII,Personally identifiable information,
5.1,mo,POC,Point of Contact,
5.1,mo,REGEX,Regular Expression,
5.1,mo,SCADA,Supervisory control and data acquisition,
5.1,mo,SIDC,Symbol Identification Code,
5.1,mo,SIPR,SECRET Internet Protocol Router Network,
5.1,mo,SP,Special Publication,
5.1,mo,SSID,Service Set Identifier,
5.1,mo,STANAG,Standardization Agreement,
5.1,mo,TCM,Target Characterization Model,
5.1,mo,TCTF,Technical Cyber Threat Framework,
5.1,mo,UIC,Unit Identification Code,
5.1,mo,ULN,Unit Line Number,
5.1,mo,UM2,Uncertainty Metrics Model,
5.1,mo,UPS,Universal Polar Stereographic,
5.1,mo,URN,Unit Reference Number,
5.1,mo,UTM,Univeral Transvere Mercator,
5.1,mo,UUID,Universally unique identifier,
5.1,mo,VLAN,Virtual local area network,
5.1,mo,Waypoint,,A point or a series of points to which a moving object may be vectored.
5.1,mo,WCM,Weapon Characterization Model,
5.1,mo,Weibull,A continuous probability distribution,
5.1,mo,WFN,,A well-formed name from the Common Platform Enumeration (CPE)
5.1,mo,WGS84,World Geodetic System 84,
5.1,mo,X509,,A standard defining the format of public key certificates.
5.1,nc,2D,Two-dimensional,
5.1,nc,3D,Three-dimensional,
5.1,nc,Alpha2,,Two-letter
5.1,nc,Alpha3,,Three-letter
5.1,nc,CMV,Commercial Motor Vehicle,
5.1,nc,DEA,Drug Enforcement Administration,
5.1,nc,ESN,electronic serial number,
5.1,nc,FATCA,Foreign Account Tax Compliance Act,
5.1,nc,FIPS,Federal Information Processing Standards,
5.1,nc,GENC,"Geopolitical Entities, Names, and Codes",
5.1,nc,GSM,Global System for Mobile communication,
5.1,nc,IMEI,International Mobile Equipment Identity,
5.1,nc,IPv4,Internet Protocol version 4,
5.1,nc,IPv6,Internet Protocol version 6,
5.1,nc,ISO,International Organization for Standardization,
5.1,nc,ISO3166,,"ISO 3166 is a standard published by the International Organization for Standardization (ISO) that defines codes for the names of countries, dependent territories, special areas of geographical interest, and their principal subdivisions (e.g., provinces or states). The official name of the standard is Codes for the representation of names of countries and their subdivisions."
5.1,nc,ISSN,International Standard Serial Number,
5.1,nc,MAC,media access control address,
5.1,nc,MIME,Multipurpose Internet Mail Extensions,
5.1,nc,MSRP,Manufacturer's suggested retail price,
5.1,nc,NANP,North American Numbering Plan,
5.1,nc,Postdirectional,,"A word following a street name that indicates the directional taken by the thoroughfare from an arbitrary starting point or line, or the sector where it is located."
5.1,nc,Predirectional,,"A word preceding a street name that indicates the directional taken by the thoroughfare from an arbitrary starting point or line, or the sector where it is located."
5.1,nc,RFID,Radio-frequency identification,
5.1,nc,RH,,Rhesus (Rh) factor is an inherited protein found on the surface of red blood cells.
5.1,nc,SSN,Social Security Number,
5.1,nc,TCP,Transmission Control Protocol,
5.1,nc,UMTS,Universal Mobile Telecommunications Service,
5.1,nc,UTC,Coordinated Universal Time,
5.1,nc,UTM,Universal Transverse Mercator,
5.1,nces,CIP,Classification of Instructional Programs,
5.1,ncic,ABRA,Article Brand Name,
5.1,ncic,BCO,Boat Color,
5.1,ncic,BLT,Blood Type,
5.1,ncic,BMA,Boat Make,
5.1,ncic,BPS,Body Parts Status,
5.1,ncic,BRA,Boat Brand Name,
5.1,ncic,BTMA,Vehicle Make for Boat Trailer,
5.1,ncic,BTY,Boat Type,
5.1,ncic,BXR,Body X-Rays Available,
5.1,ncic,CAL,(Firearm) Caliber,
5.1,ncic,CAT,(Vehicle/Boat Part) Category,
5.1,ncic,CBTY,Canadian Boat Type,
5.1,ncic,CDA,Manner and Cause of Death,
5.1,ncic,CMC,Caution and Medical Conditions,
5.1,ncic,COL,(Physical Feature) Color,
5.1,ncic,CPRO,Canadian Vehicle Index Propulsion,
5.1,ncic,CRC,Circumcision,
5.1,ncic,CRR,Conviction Resulting in Registration,
5.1,ncic,CTZ,Citizenship,
