Release,TypeNS,TypeName,Definition,ContentStyle,SimpleQualifiedType,ParentQualifiedType,IsMetadata,IsAdapter,IsAugmentation,Keywords,ExampleContent,UsageInfo,QualifiedType
3.0,j,ActivityFeeAssociationType,A data type for an association between an activity and a fee.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityFeeAssociationType
3.0,j,ActivityForceAssociationType,A data type for an association between an activity and a use of force.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityForceAssociationType
3.0,j,ActivityIncidentAssociationType,A data type for an association between an activity and an incident.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityIncidentAssociationType
3.0,j,ActivityInstantMessengerAssociationType,A data type for a relationship between an activity and an other contact address.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityInstantMessengerAssociationType
3.0,cyfs,ActivityInvolvedPersonAssociationAugmentationType,A data type for additional information about an activity and a person involved in that activity.,CCC,,,FALSE,FALSE,TRUE,,,,cyfs:ActivityInvolvedPersonAssociationAugmentationType
3.0,nc,ActivityItemAssociationType,A data type for an association between an activity and an item.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,nc:ActivityItemAssociationType
3.0,j,ActivityJudgeAssociationType,A data type for an association between an activity and a judge.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityJudgeAssociationType
3.0,j,ActivityJurisdictionAssociationType,A data type for an association between an activity and a jurisdiction.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityJurisdictionAssociationType
3.0,j,ActivityLocationAssociationType,A data type for an association between an activity and a location.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityLocationAssociationType
3.0,j,ActivityNetworkAddressAssociationType,A data type for a relationship between an activity and a network address.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityNetworkAddressAssociationType
3.0,j,ActivityObligationAssociationType,A data type for an association between an activity and an obligation.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityObligationAssociationType
3.0,nc,ActivityOrganizationAssociationType,A data type for an association between an activity and an organization.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,nc:ActivityOrganizationAssociationType
3.0,nc,ActivityPersonAssociationType,A data type for an association between an activity and a person.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,nc:ActivityPersonAssociationType
3.0,scr,ActivityProcessCategoryCodeSimpleType,A data type for a kind of activity process.,S,scr:ActivityProcessCategoryCodeType,,FALSE,FALSE,FALSE,,,,scr:ActivityProcessCategoryCodeSimpleType
3.0,scr,ActivityProcessCategoryCodeType,A data type for a kind of activity process.,CSC,,,FALSE,FALSE,FALSE,,,,scr:ActivityProcessCategoryCodeType
3.0,scr,ActivityProcessClassificationType,A data type describing a kind of Screening activity process.,CCC,,,FALSE,FALSE,FALSE,,,,scr:ActivityProcessClassificationType
3.0,j,ActivityProgramAssociationType,A data type for an association between an activity and a program.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityProgramAssociationType
3.0,j,ActivityReferralAssociationType,A data type for an association between an activity and a referral.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityReferralAssociationType
3.0,j,ActivityReleaseAssociationType,A data type for an association between an activity and a release.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityReleaseAssociationType
3.0,scr,ActivityRequestCategoryCodeSimpleType,A data type for a kind of activity request.,S,scr:ActivityRequestCategoryCodeType,,FALSE,FALSE,FALSE,,,,scr:ActivityRequestCategoryCodeSimpleType
3.0,scr,ActivityRequestCategoryCodeType,A data type for a kind of activity request.,CSC,,,FALSE,FALSE,FALSE,,,,scr:ActivityRequestCategoryCodeType
3.0,scr,ActivityRequestClassificationType,A data type describing a classification of Screening activity request.,CCC,,,FALSE,FALSE,FALSE,,,,scr:ActivityRequestClassificationType
3.0,scr,ActivityResponseCategoryCodeSimpleType,A data type for a kind of activity response.,S,scr:ActivityResponseCategoryCodeType,,FALSE,FALSE,FALSE,,,,scr:ActivityResponseCategoryCodeSimpleType
3.0,scr,ActivityResponseCategoryCodeType,A data type for a kind of activity response.,CSC,,,FALSE,FALSE,FALSE,,,,scr:ActivityResponseCategoryCodeType
3.0,scr,ActivityResponseClassificationType,A data type describing a classification of Screening activity response.,CCC,,,FALSE,FALSE,FALSE,,,,scr:ActivityResponseClassificationType
3.0,scr,ActivityResultsCategoryCodeSimpleType,A data type for a kind of activity results.,S,scr:ActivityResultsCategoryCodeType,,FALSE,FALSE,FALSE,,,,scr:ActivityResultsCategoryCodeSimpleType
3.0,scr,ActivityResultsCategoryCodeType,A data type for a kind of activity results.,CSC,,,FALSE,FALSE,FALSE,,,,scr:ActivityResultsCategoryCodeType
3.0,scr,ActivityResultsClassificationType,A data type describing a classification of Screening activity results.,CCC,,,FALSE,FALSE,FALSE,,,,scr:ActivityResultsClassificationType
3.0,j,ActivitySanctionAssociationType,A data type for an association between an activity and a sanction.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivitySanctionAssociationType
3.0,nc,ActivityScheduleAssociationType,A data type for an association between an activity and its schedule.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,nc:ActivityScheduleAssociationType
3.0,j,ActivitySentenceComputationAssociationType,A data type for a relationship between an activity and a sentence computation.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivitySentenceComputationAssociationType
3.0,j,ActivityServiceCallAssociationType,A data type for an association between an activity and a service call.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityServiceCallAssociationType
3.0,nc,ActivitySiteAssociationType,A data type for an association between an activity and a site.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,nc:ActivitySiteAssociationType
3.0,j,ActivitySubjectAssociationType,A data type for an association between an activity and a subject.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivitySubjectAssociationType
3.0,j,ActivityTelephoneNumberAssociationType,A data type for a relationship between an activity and a telephone number.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityTelephoneNumberAssociationType
3.0,nc,ActivityType,"A data type for a single or set of related actions, events, or process steps.",CCC,,,FALSE,FALSE,FALSE,,,,nc:ActivityType
3.0,j,ActivityUnitAssociationType,A data type for an association between an activity and a unit.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityUnitAssociationType
3.0,j,ActivityVictimAssociationType,A data type for an association between an activity and a victim.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityVictimAssociationType
3.0,j,ActivityWarrantAssociationType,A data type for an association between an activity and a warrant.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityWarrantAssociationType
3.0,j,ActivityWitnessAssociationType,A data type for an association between an activity and a witness.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityWitnessAssociationType
3.0,it,AdditionalDocumentType,A data type for an applied augmentation for type nc:DocumentType,CCC,,nc:DocumentType,FALSE,FALSE,FALSE,,,,it:AdditionalDocumentType
3.0,it,AdditionalInformationType,A data type for an applied augmentation for type nc:DocumentType,CCC,,nc:DocumentType,FALSE,FALSE,FALSE,,,,it:AdditionalInformationType
3.0,it,AddressAugmentationType,A data type for additional information about an address.,CCC,,,FALSE,FALSE,TRUE,,,,it:AddressAugmentationType
3.0,scr,AddressAugmentationType,A data type for additional information about an address.,CCC,,,FALSE,FALSE,TRUE,,,,scr:AddressAugmentationType
3.0,scr,AddressCategoryCodeSimpleType,A data type describing the kinds of Address types,S,scr:AddressCategoryCodeType,,FALSE,FALSE,FALSE,,,,scr:AddressCategoryCodeSimpleType
3.0,scr,AddressCategoryCodeType,A data type describing the kinds of Address types,CSC,,,FALSE,FALSE,FALSE,,,,scr:AddressCategoryCodeType
3.0,scr,AddressClassificationType,A data type for classification of an ADDRESS,CCC,,,FALSE,FALSE,FALSE,,,,scr:AddressClassificationType
3.0,nc,AddressGridType,A data type for a location identified by a unit of a grid system overlaid on an area.,CCC,,,FALSE,FALSE,FALSE,,,"May be used to denote the area of jurisdiction of an agency, such as a law enforcement or emergency response agency.",nc:AddressGridType
3.0,nc,AddressType,A data type for a geophysical location described by postal information.,CCC,,,FALSE,FALSE,FALSE,,,,nc:AddressType
3.0,cyfs,AdoptingParentRelationshipCategoryCodeSimpleType,A data type for describing the relationship of an adopting parent.,S,cyfs:AdoptingParentRelationshipCategoryCodeType,,FALSE,FALSE,FALSE,,,,cyfs:AdoptingParentRelationshipCategoryCodeSimpleType
3.0,cyfs,AdoptingParentRelationshipCategoryCodeType,A data type for describing the relationship of an adopting parent.,CSC,,,FALSE,FALSE,FALSE,,,,cyfs:AdoptingParentRelationshipCategoryCodeType
3.0,cyfs,AdoptiveFamilyAssociationType,A data type for an association between family members in an adoptive family.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,cyfs:AdoptiveFamilyAssociationType
3.0,cyfs,AdoptiveParentChildAssociationType,A data type for an association between a child and a parent who adopted the child.,CCC,,cyfs:ParentChildAssociationType,FALSE,FALSE,FALSE,,,,cyfs:AdoptiveParentChildAssociationType
3.0,cyfs,AFCARSPermanencyGoalCodeSimpleType,"A data type for a list of case plan goals for permanency defined for the Adoption and Foster Care Analysis Reporting System in 45 CFR 1355, Appendix A, roman numeral VI.",S,cyfs:AFCARSPermanencyGoalCodeType,,FALSE,FALSE,FALSE,,,,cyfs:AFCARSPermanencyGoalCodeSimpleType
3.0,cyfs,AFCARSPermanencyGoalCodeType,"A data type for a list of case plan goals for permanency defined for the Adoption and Foster Care Analysis Reporting System in 45 CFR 1355, Appendix A, roman numeral VI.",CSC,,,FALSE,FALSE,FALSE,,,,cyfs:AFCARSPermanencyGoalCodeType
3.0,nlets,AgencyAuthorizationCodeSimpleType,A data type for an agency's access category to data.,S,nlets:AgencyAuthorizationCodeType,,FALSE,FALSE,FALSE,,,,nlets:AgencyAuthorizationCodeSimpleType
3.0,nlets,AgencyAuthorizationCodeType,A data type for an agency's access category to data.,CSC,,,FALSE,FALSE,FALSE,,,,nlets:AgencyAuthorizationCodeType
3.0,intel,AgencyInterestCategoryType,A data type for a groupings of persons by the reason they are of interest to intelligence.,CCC,,,FALSE,FALSE,FALSE,,,,intel:AgencyInterestCategoryType
3.0,intel,AgencyInterestOtherCategoryType,A data type for a details that describe an additional person-categorization system that groups of people by the reason they are of interest to intelligence.,CCC,,,FALSE,FALSE,FALSE,,,,intel:AgencyInterestOtherCategoryType
3.0,nlets,AgencyServiceHoursCodeSimpleType,A data type for the availability of an agency.,S,nlets:AgencyServiceHoursCodeType,,FALSE,FALSE,FALSE,,,,nlets:AgencyServiceHoursCodeSimpleType
3.0,nlets,AgencyServiceHoursCodeType,A data type for the availability of an agency.,CSC,,,FALSE,FALSE,FALSE,,,,nlets:AgencyServiceHoursCodeType
3.0,intel,AgencySubjectHandlingType,A data type for actions to take on contact with the person.,CCC,,,FALSE,FALSE,FALSE,,,,intel:AgencySubjectHandlingType
3.0,intel,AgencySubjectInterestType,A data type for a detailed description of why an agency placed the person in its repository or why the data on the person is being exchanged.,CCC,,,FALSE,FALSE,FALSE,,,,intel:AgencySubjectInterestType
3.0,scr,AgentAssociationType,A data type for a relationship between a Person and a Person Role,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,scr:AgentAssociationType
3.0,it,AgentType,"A data type for a party authorized to act on behalf of another person, organization or thing.",CCC,,,FALSE,FALSE,FALSE,,,,it:AgentType
3.0,ndex,AggravatedAssaultCircumstanceNDExCodeSimpleType,"A data type for a code that describes the circumstances of either an aggravated assault or homicide. Includes all NIBRS codes, plus additional codes.",S,ndex:AggravatedAssaultCircumstanceNDExCodeType,,FALSE,FALSE,FALSE,,,,ndex:AggravatedAssaultCircumstanceNDExCodeSimpleType
3.0,ndex,AggravatedAssaultCircumstanceNDExCodeType,"A data type for a code that describes the circumstances of either an aggravated assault or homicide. Includes all NIBRS codes, plus additional codes.",CSC,,,FALSE,FALSE,FALSE,,,,ndex:AggravatedAssaultCircumstanceNDExCodeType
3.0,ucr,AggravatedAssaultHomicideFactorsCodeSimpleType,A data type for circumstances of either an aggravated assault or homicide.,S,ucr:AggravatedAssaultHomicideFactorsCodeType,,FALSE,FALSE,FALSE,,,,ucr:AggravatedAssaultHomicideFactorsCodeSimpleType
3.0,ucr,AggravatedAssaultHomicideFactorsCodeType,A data type for circumstances of either an aggravated assault or homicide.,CSC,,,FALSE,FALSE,FALSE,,,,ucr:AggravatedAssaultHomicideFactorsCodeType
3.0,scr,AircraftFlightPlanSummaryAssociationType,"A data type for an association between a flight plan summary, an aircraft, and a carrier.",CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,scr:AircraftFlightPlanSummaryAssociationType
3.0,nc,AircraftType,A data type for a mode of transportation capable of flying in the air.,CCC,,nc:ConveyanceType,FALSE,FALSE,FALSE,"plane, airplane, helicopter, jet, drone, glider, unmanned aircraft, UAV",,,nc:AircraftType
3.0,nc,AirportType,A data type for an airport facility.,CCC,,nc:FacilityType,FALSE,FALSE,FALSE,,,,nc:AirportType
3.0,em,AlarmAudibleDescriptionCodeSimpleType,A data type code indicating whether the alarm is audible or silent.,S,em:AlarmAudibleDescriptionCodeType,,FALSE,FALSE,FALSE,,,,em:AlarmAudibleDescriptionCodeSimpleType
3.0,em,AlarmAudibleDescriptionCodeType,A data type code indicating whether the alarm is audible or silent.,CSC,,,FALSE,FALSE,FALSE,,,,em:AlarmAudibleDescriptionCodeType
3.0,em,AlarmConfirmationType,A data type for the container for information related to the confirmation of an alarm.,CCC,,,FALSE,FALSE,FALSE,,,,em:AlarmConfirmationType
3.0,apco,AlarmEventCategoryCodeSimpleType,A data type for kinds of alarm events.,S,apco:AlarmEventCategoryCodeType,,FALSE,FALSE,FALSE,,,,apco:AlarmEventCategoryCodeSimpleType
3.0,apco,AlarmEventCategoryCodeType,A data type for kinds of alarm events.,CSC,,,FALSE,FALSE,FALSE,,,,apco:AlarmEventCategoryCodeType
3.0,apco,AlarmEventLocationCategoryCodeSimpleType,A data type for the kinds of location at which an alarm event occurs.,S,apco:AlarmEventLocationCategoryCodeType,,FALSE,FALSE,FALSE,,,,apco:AlarmEventLocationCategoryCodeSimpleType
3.0,apco,AlarmEventLocationCategoryCodeType,A data type for the kinds of location at which an alarm event occurs.,CSC,,,FALSE,FALSE,FALSE,,,,apco:AlarmEventLocationCategoryCodeType
3.0,apco,AlarmEventResponseActionCodeSimpleType,A data type for actions requested of an alarm event responder.,S,apco:AlarmEventResponseActionCodeType,,FALSE,FALSE,FALSE,,,,apco:AlarmEventResponseActionCodeSimpleType
3.0,apco,AlarmEventResponseActionCodeType,A data type for actions requested of an alarm event responder.,CSC,,,FALSE,FALSE,FALSE,,,,apco:AlarmEventResponseActionCodeType
3.0,em,AlarmEventType,A data type for an alarm event.,CCC,,nc:ActivityType,FALSE,FALSE,FALSE,,,,em:AlarmEventType
3.0,em,AlarmPermitType,A data type for a permit for the alarm event site.,CCC,,,FALSE,FALSE,FALSE,,,,em:AlarmPermitType
3.0,em,AlarmType,A data type for an alarm.,CCC,,,FALSE,FALSE,FALSE,,,,em:AlarmType
3.0,mmucc,AlcoholInvolvementSuspicionCodeSimpleType,A data type for a driver or non-motorist involved in the crash suspected by law enforcement to have used alcohol.,S,mmucc:AlcoholInvolvementSuspicionCodeType,,FALSE,FALSE,FALSE,,,,mmucc:AlcoholInvolvementSuspicionCodeSimpleType
3.0,mmucc,AlcoholInvolvementSuspicionCodeType,A data type for a driver or non-motorist involved in the crash suspected by law enforcement to have used alcohol.,CSC,,,FALSE,FALSE,FALSE,,,,mmucc:AlcoholInvolvementSuspicionCodeType
3.0,mmucc,AlcoholTestCategoryCodeSimpleType,A data type for the kind of Alcohol Test Given.,S,mmucc:AlcoholTestCategoryCodeType,,FALSE,FALSE,FALSE,,,,mmucc:AlcoholTestCategoryCodeSimpleType
3.0,mmucc,AlcoholTestCategoryCodeType,A data type for the kind of Alcohol Test Given.,CSC,,,FALSE,FALSE,FALSE,,,,mmucc:AlcoholTestCategoryCodeType
3.0,mmucc,AlcoholTestResultCodeSimpleType,A data type for a status of BAC Test results.,S,mmucc:AlcoholTestResultCodeType,,FALSE,FALSE,FALSE,,,,mmucc:AlcoholTestResultCodeSimpleType
3.0,mmucc,AlcoholTestResultCodeType,A data type for a status of BAC Test results.,CSC,,,FALSE,FALSE,FALSE,,,,mmucc:AlcoholTestResultCodeType
3.0,j,AlcoholTestResultQuantitySimpleType,A data type for blood alcohol content (BAC) Test Result.,S,j:AlcoholTestResultQuantityType,,FALSE,FALSE,FALSE,,,2 digits.,j:AlcoholTestResultQuantitySimpleType
3.0,j,AlcoholTestResultQuantityType,A data type for blood alcohol content (BAC) Test Result.,CSC,,,FALSE,FALSE,FALSE,,,2 digits.,j:AlcoholTestResultQuantityType
3.0,mmucc,AlcoholTestStatusCodeSimpleType,A data type for an indication of the presence of alcohol by test.,S,mmucc:AlcoholTestStatusCodeType,,FALSE,FALSE,FALSE,,,,mmucc:AlcoholTestStatusCodeSimpleType
3.0,mmucc,AlcoholTestStatusCodeType,A data type for an indication of the presence of alcohol by test.,CSC,,,FALSE,FALSE,FALSE,,,,mmucc:AlcoholTestStatusCodeType
3.0,edxl-cap,AlertAdapterType,A data type for a simple but general format for exchanging effective warning messages based on best practices identified in academic research and real-world experience.,CCC,,,FALSE,TRUE,FALSE,,,,edxl-cap:AlertAdapterType
3.0,em,AlertAffectedLocationType,A data type for a location affected by an alert.,CCC,,nc:LocationType,FALSE,FALSE,FALSE,,,,em:AlertAffectedLocationType
3.0,scr,AlertAugmentationType,A data type for additional information about an alert.,CCC,,,FALSE,FALSE,TRUE,,,,scr:AlertAugmentationType
3.0,em,AlertCategoryCodeSimpleType,A data type for a code set denoting the type of alert message.,S,em:AlertCategoryCodeType,,FALSE,FALSE,FALSE,,,,em:AlertCategoryCodeSimpleType
3.0,scr,AlertCategoryCodeSimpleType,A data type for denoting the type of alert message.,S,scr:AlertCategoryCodeType,,FALSE,FALSE,FALSE,,,,scr:AlertCategoryCodeSimpleType
3.0,em,AlertCategoryCodeType,A data type for a code set denoting the type of alert message.,CSC,,,FALSE,FALSE,FALSE,,,,em:AlertCategoryCodeType
3.0,scr,AlertCategoryCodeType,A data type for denoting the type of alert message.,CSC,,,FALSE,FALSE,FALSE,,,,scr:AlertCategoryCodeType
3.0,em,AlertEventDetailsCategoryCodeSimpleType,A data type for the category code designated to an alert event.,S,em:AlertEventDetailsCategoryCodeType,,FALSE,FALSE,FALSE,,,,em:AlertEventDetailsCategoryCodeSimpleType
3.0,em,AlertEventDetailsCategoryCodeType,A data type for the category code designated to an alert event.,CSC,,,FALSE,FALSE,FALSE,,,,em:AlertEventDetailsCategoryCodeType
3.0,em,AlertEventDetailsCertaintyCodeSimpleType,A data type for the certainty code designated to an alert event.,S,em:AlertEventDetailsCertaintyCodeType,,FALSE,FALSE,FALSE,,,,em:AlertEventDetailsCertaintyCodeSimpleType
3.0,em,AlertEventDetailsCertaintyCodeType,A data type for the certainty code designated to an alert event.,CSC,,,FALSE,FALSE,FALSE,,,,em:AlertEventDetailsCertaintyCodeType
3.0,em,AlertEventDetailsResponseRecommendationCodeSimpleType,A data type for the response recommendation code designated to an alert event.,S,em:AlertEventDetailsResponseRecommendationCodeType,,FALSE,FALSE,FALSE,,,,em:AlertEventDetailsResponseRecommendationCodeSimpleType
3.0,em,AlertEventDetailsResponseRecommendationCodeType,A data type for the response recommendation code designated to an alert event.,CSC,,,FALSE,FALSE,FALSE,,,,em:AlertEventDetailsResponseRecommendationCodeType
3.0,em,AlertEventDetailsSeverityCodeSimpleType,A data type for the severity code designated to an alert event.,S,em:AlertEventDetailsSeverityCodeType,,FALSE,FALSE,FALSE,,,,em:AlertEventDetailsSeverityCodeSimpleType
3.0,em,AlertEventDetailsSeverityCodeType,A data type for the severity code designated to an alert event.,CSC,,,FALSE,FALSE,FALSE,,,,em:AlertEventDetailsSeverityCodeType
3.0,em,AlertEventDetailsType,A data type for an alert event details.,CCC,,,FALSE,FALSE,FALSE,,,,em:AlertEventDetailsType
3.0,em,AlertEventDetailsUrgencyCodeSimpleType,A data type for the urgency code designated to an alert event.,S,em:AlertEventDetailsUrgencyCodeType,,FALSE,FALSE,FALSE,,,,em:AlertEventDetailsUrgencyCodeSimpleType
3.0,em,AlertEventDetailsUrgencyCodeType,A data type for the urgency code designated to an alert event.,CSC,,,FALSE,FALSE,FALSE,,,,em:AlertEventDetailsUrgencyCodeType
3.0,em,AlertIncidentAssociationType,A data type for an association between an alert and an incident.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,em:AlertIncidentAssociationType
3.0,em,AlertSupplementaryDigitalResourceType,A data type for a digital representation of an object.,CCC,,,FALSE,FALSE,FALSE,,,,em:AlertSupplementaryDigitalResourceType
3.0,em,AlertType,A data type for an alert message.,CCC,,,FALSE,FALSE,FALSE,,,,em:AlertType
3.0,im,AlienAlertType,A data type for the significant information regarding an alien communicated to immigration or enforcement officials notifying them of potential risk or risks.,CCC,,,FALSE,FALSE,FALSE,,,,im:AlienAlertType
3.0,scr,AlienDeportationEscortReasonType,A data type for an explanation why a DHS designated person is required to accompany the person during DEPORTATION.,CCC,,,FALSE,FALSE,FALSE,,,,scr:AlienDeportationEscortReasonType
3.0,scr,AlienDeportationType,A data type for an involuntary DEPARTURE of a PERSON based on a judicial decision or inspectors discretion.,CCC,,,FALSE,FALSE,FALSE,,,,scr:AlienDeportationType
3.0,scr,AlienDetentionType,A data type that supplements information for nc:SupervisionType,CCC,,nc:SupervisionType,FALSE,FALSE,FALSE,,,,scr:AlienDetentionType
3.0,im,AlienEncounterType,A data type for the interface between an alien and a Department of Homeland Security (DHS) Immigration and Customs Enforcement (ICE) official.,CCC,,nc:PersonEncounterType,FALSE,FALSE,FALSE,,,,im:AlienEncounterType
3.0,scr,AlienEntryStatusType,A data type for an entry status of an alien.,CCC,,nc:StatusType,FALSE,FALSE,FALSE,,,,scr:AlienEntryStatusType
