Release,TypeNamespacePrefix,TypeName,QualifiedType,PropertyNamespacePrefix,PropertyName,QualifiedProperty,MinOccurs,MaxOccurs,Definition,SequenceNumber
3.1,biom,AcquisitionSourceType,biom:AcquisitionSourceType,biom,AcquisitionSourceCategoryText,biom:AcquisitionSourceCategoryText,0,unbounded,,1
3.1,biom,AcquisitionSourceType,biom:AcquisitionSourceType,biom,AcquisitionSourceDescriptionText,biom:AcquisitionSourceDescriptionText,0,unbounded,,2
3.1,biom,AcquisitionSourceType,biom:AcquisitionSourceType,biom,AcquisitionSourceAugmentationPoint,biom:AcquisitionSourceAugmentationPoint,0,unbounded,,9999
3.1,j,ActivityArrestAssociationType,j:ActivityArrestAssociationType,nc,Activity,nc:Activity,0,unbounded,,10
3.1,j,ActivityArrestAssociationType,j:ActivityArrestAssociationType,j,Arrest,j:Arrest,0,unbounded,,20
3.1,j,ActivityArrestAssociationType,j:ActivityArrestAssociationType,j,ActivityArrestAssociationAugmentationPoint,j:ActivityArrestAssociationAugmentationPoint,0,unbounded,,9999
3.1,j,ActivityAugmentationType,j:ActivityAugmentationType,j,ActivityDocumentServer,j:ActivityDocumentServer,0,unbounded,,10
3.1,j,ActivityAugmentationType,j:ActivityAugmentationType,j,CaseLinkage,j:CaseLinkage,0,unbounded,,10
3.1,j,ActivityAugmentationType,j:ActivityAugmentationType,j,Narrative,j:Narrative,0,unbounded,,10
3.1,j,ActivityAugmentationType,j:ActivityAugmentationType,j,CaseNumberText,j:CaseNumberText,0,unbounded,,10
3.1,j,ActivityAugmentationType,j:ActivityAugmentationType,j,ActivityDocumentValidator,j:ActivityDocumentValidator,0,unbounded,,20
3.1,j,ActivityAugmentationType,j:ActivityAugmentationType,j,ActivityOfficial,j:ActivityOfficial,0,unbounded,,30
3.1,j,ActivityCaseAssociationType,j:ActivityCaseAssociationType,nc,Activity,nc:Activity,0,unbounded,,30
3.1,j,ActivityCaseAssociationType,j:ActivityCaseAssociationType,nc,Case,nc:Case,0,unbounded,,40
3.1,j,ActivityCaseAssociationType,j:ActivityCaseAssociationType,j,ActivityCaseAssociationAugmentationPoint,j:ActivityCaseAssociationAugmentationPoint,0,unbounded,,9999
3.1,j,ActivityChargeAssociationType,j:ActivityChargeAssociationType,nc,Activity,nc:Activity,0,unbounded,,50
3.1,j,ActivityChargeAssociationType,j:ActivityChargeAssociationType,j,Charge,j:Charge,0,unbounded,,60
3.1,j,ActivityChargeAssociationType,j:ActivityChargeAssociationType,j,ActivityChargeAssociationAugmentationPoint,j:ActivityChargeAssociationAugmentationPoint,0,unbounded,,9999
3.1,j,ActivityCommunityServiceAssociationType,j:ActivityCommunityServiceAssociationType,nc,Activity,nc:Activity,0,unbounded,,70
3.1,j,ActivityCommunityServiceAssociationType,j:ActivityCommunityServiceAssociationType,j,CommunityService,j:CommunityService,0,unbounded,,80
3.1,j,ActivityCommunityServiceAssociationType,j:ActivityCommunityServiceAssociationType,j,ActivityCommunityServiceAssociationAugmentationPoint,j:ActivityCommunityServiceAssociationAugmentationPoint,0,unbounded,,9999
3.1,j,ActivityContactInformationAssociationType,j:ActivityContactInformationAssociationType,nc,Activity,nc:Activity,0,unbounded,,90
3.1,j,ActivityContactInformationAssociationType,j:ActivityContactInformationAssociationType,nc,ContactInformation,nc:ContactInformation,0,unbounded,,100
3.1,j,ActivityContactInformationAssociationType,j:ActivityContactInformationAssociationType,nc,Person,nc:Person,0,unbounded,,110
3.1,j,ActivityContactInformationAssociationType,j:ActivityContactInformationAssociationType,j,ActivityContactInformationAssociationAugmentationPoint,j:ActivityContactInformationAssociationAugmentationPoint,0,unbounded,,9999
3.1,nc,ActivityConveyanceAssociationType,nc:ActivityConveyanceAssociationType,nc,Activity,nc:Activity,0,unbounded,,10
3.1,nc,ActivityConveyanceAssociationType,nc:ActivityConveyanceAssociationType,nc,Conveyance,nc:Conveyance,0,unbounded,,20
3.1,nc,ActivityConveyanceAssociationType,nc:ActivityConveyanceAssociationType,nc,ActivityConveyanceAssociationAugmentationPoint,nc:ActivityConveyanceAssociationAugmentationPoint,0,unbounded,,9999
3.1,j,ActivityCounselingAssociationType,j:ActivityCounselingAssociationType,nc,Activity,nc:Activity,0,unbounded,,120
3.1,j,ActivityCounselingAssociationType,j:ActivityCounselingAssociationType,j,Counseling,j:Counseling,0,unbounded,,130
3.1,j,ActivityCounselingAssociationType,j:ActivityCounselingAssociationType,j,ActivityCounselingAssociationAugmentationPoint,j:ActivityCounselingAssociationAugmentationPoint,0,unbounded,,9999
3.1,j,ActivityCourtAssociationType,j:ActivityCourtAssociationType,nc,Activity,nc:Activity,0,unbounded,,140
3.1,j,ActivityCourtAssociationType,j:ActivityCourtAssociationType,j,Court,j:Court,0,unbounded,,150
3.1,j,ActivityCourtAssociationType,j:ActivityCourtAssociationType,j,ActivityCourtAssociationAugmentationPoint,j:ActivityCourtAssociationAugmentationPoint,0,unbounded,,9999
3.1,j,ActivityCourtOrderAssociationType,j:ActivityCourtOrderAssociationType,nc,Activity,nc:Activity,0,unbounded,,160
3.1,j,ActivityCourtOrderAssociationType,j:ActivityCourtOrderAssociationType,j,CourtOrder,j:CourtOrder,0,unbounded,,170
3.1,j,ActivityCourtOrderAssociationType,j:ActivityCourtOrderAssociationType,j,Subject,j:Subject,0,unbounded,,180
3.1,j,ActivityCourtOrderAssociationType,j:ActivityCourtOrderAssociationType,j,ActivityCourtOrderAssociationAugmentationPoint,j:ActivityCourtOrderAssociationAugmentationPoint,0,unbounded,,9999
3.1,j,ActivityCriminalOrganizationAssociationType,j:ActivityCriminalOrganizationAssociationType,nc,Activity,nc:Activity,0,unbounded,,190
3.1,j,ActivityCriminalOrganizationAssociationType,j:ActivityCriminalOrganizationAssociationType,j,CriminalOrganization,j:CriminalOrganization,0,unbounded,,200
3.1,j,ActivityCriminalOrganizationAssociationType,j:ActivityCriminalOrganizationAssociationType,nc,ActivityInvolvement,nc:ActivityInvolvement,0,unbounded,,210
3.1,j,ActivityCriminalOrganizationAssociationType,j:ActivityCriminalOrganizationAssociationType,j,ActivityCriminalOrganizationAssociationAugmentationPoint,j:ActivityCriminalOrganizationAssociationAugmentationPoint,0,unbounded,,9999
3.1,j,ActivityCustodyTransferAssociationType,j:ActivityCustodyTransferAssociationType,nc,Activity,nc:Activity,0,unbounded,,210
3.1,j,ActivityCustodyTransferAssociationType,j:ActivityCustodyTransferAssociationType,j,CustodyTransfer,j:CustodyTransfer,0,unbounded,,220
3.1,j,ActivityCustodyTransferAssociationType,j:ActivityCustodyTransferAssociationType,j,Subject,j:Subject,0,unbounded,,230
3.1,j,ActivityCustodyTransferAssociationType,j:ActivityCustodyTransferAssociationType,j,ActivityCustodyTransferAssociationAugmentationPoint,j:ActivityCustodyTransferAssociationAugmentationPoint,0,unbounded,,9999
3.1,nc,ActivityDocumentAssociationType,nc:ActivityDocumentAssociationType,nc,Activity,nc:Activity,0,unbounded,,1300
3.1,nc,ActivityDocumentAssociationType,nc:ActivityDocumentAssociationType,nc,Document,nc:Document,0,unbounded,,1310
3.1,nc,ActivityDocumentAssociationType,nc:ActivityDocumentAssociationType,nc,ActivityDocumentAssociationAugmentationPoint,nc:ActivityDocumentAssociationAugmentationPoint,0,unbounded,,9999
3.1,j,ActivityDriverLicenseAssociationType,j:ActivityDriverLicenseAssociationType,nc,Activity,nc:Activity,0,unbounded,,240
3.1,j,ActivityDriverLicenseAssociationType,j:ActivityDriverLicenseAssociationType,j,DriverLicense,j:DriverLicense,0,unbounded,,250
3.1,j,ActivityDriverLicenseAssociationType,j:ActivityDriverLicenseAssociationType,nc,Person,nc:Person,0,unbounded,,260
3.1,j,ActivityDriverLicenseAssociationType,j:ActivityDriverLicenseAssociationType,j,ActivityDriverLicenseAssociationAugmentationPoint,j:ActivityDriverLicenseAssociationAugmentationPoint,0,unbounded,,9999
3.1,j,ActivityEmailAddressAssociationType,j:ActivityEmailAddressAssociationType,nc,Activity,nc:Activity,0,unbounded,,10
3.1,j,ActivityEmailAddressAssociationType,j:ActivityEmailAddressAssociationType,nc,ContactEmailID,nc:ContactEmailID,0,unbounded,,10
3.1,j,ActivityEmailAddressAssociationType,j:ActivityEmailAddressAssociationType,j,ActivityEmailAddressAssociationAugmentationPoint,j:ActivityEmailAddressAssociationAugmentationPoint,0,unbounded,,9999
3.1,j,ActivityEmployeeAssociationType,j:ActivityEmployeeAssociationType,nc,Activity,nc:Activity,0,unbounded,,270
3.1,j,ActivityEmployeeAssociationType,j:ActivityEmployeeAssociationType,nc,Employee,nc:Employee,0,unbounded,,280
3.1,j,ActivityEmployeeAssociationType,j:ActivityEmployeeAssociationType,j,ActivityEmployeeAssociationAugmentationPoint,j:ActivityEmployeeAssociationAugmentationPoint,0,unbounded,,9999
3.1,j,ActivityEvidenceAssociationType,j:ActivityEvidenceAssociationType,nc,Activity,nc:Activity,0,unbounded,,290
3.1,j,ActivityEvidenceAssociationType,j:ActivityEvidenceAssociationType,j,Evidence,j:Evidence,0,unbounded,,300
3.1,j,ActivityEvidenceAssociationType,j:ActivityEvidenceAssociationType,j,ActivityEvidenceAssociationAugmentationPoint,j:ActivityEvidenceAssociationAugmentationPoint,0,unbounded,,9999
3.1,nc,ActivityFacilityAssociationType,nc:ActivityFacilityAssociationType,nc,Activity,nc:Activity,0,unbounded,,310
3.1,nc,ActivityFacilityAssociationType,nc:ActivityFacilityAssociationType,nc,Facility,nc:Facility,0,unbounded,,320
3.1,nc,ActivityFacilityAssociationType,nc:ActivityFacilityAssociationType,nc,ActivityFacilityAssociationAugmentationPoint,nc:ActivityFacilityAssociationAugmentationPoint,0,unbounded,,9999
3.1,j,ActivityFeeAssociationType,j:ActivityFeeAssociationType,nc,Activity,nc:Activity,0,unbounded,,330
3.1,j,ActivityFeeAssociationType,j:ActivityFeeAssociationType,nc,Fee,nc:Fee,0,unbounded,,340
3.1,j,ActivityFeeAssociationType,j:ActivityFeeAssociationType,j,ActivityFeeAssociationAugmentationPoint,j:ActivityFeeAssociationAugmentationPoint,0,unbounded,,9999
3.1,j,ActivityForceAssociationType,j:ActivityForceAssociationType,nc,Activity,nc:Activity,0,unbounded,,350
3.1,j,ActivityForceAssociationType,j:ActivityForceAssociationType,j,Force,j:Force,0,unbounded,,360
3.1,j,ActivityForceAssociationType,j:ActivityForceAssociationType,j,ActivityForceAssociationAugmentationPoint,j:ActivityForceAssociationAugmentationPoint,0,unbounded,,9999
3.1,j,ActivityIncidentAssociationType,j:ActivityIncidentAssociationType,nc,Activity,nc:Activity,0,unbounded,,370
3.1,j,ActivityIncidentAssociationType,j:ActivityIncidentAssociationType,nc,Incident,nc:Incident,0,unbounded,,380
3.1,j,ActivityIncidentAssociationType,j:ActivityIncidentAssociationType,j,ActivityIncidentAssociationAugmentationPoint,j:ActivityIncidentAssociationAugmentationPoint,0,unbounded,,9999
3.1,j,ActivityInstantMessengerAssociationType,j:ActivityInstantMessengerAssociationType,j,InstantMessengerID,j:InstantMessengerID,0,unbounded,,10
3.1,j,ActivityInstantMessengerAssociationType,j:ActivityInstantMessengerAssociationType,nc,Activity,nc:Activity,0,unbounded,,10
3.1,j,ActivityInstantMessengerAssociationType,j:ActivityInstantMessengerAssociationType,j,ActivityInstantMessengerAssociationAugmentationPoint,j:ActivityInstantMessengerAssociationAugmentationPoint,0,unbounded,,9999
3.1,cyfs,ActivityInvolvedPersonAssociationAugmentationType,cyfs:ActivityInvolvedPersonAssociationAugmentationType,cyfs,SignatureRequiredIndicator,cyfs:SignatureRequiredIndicator,0,unbounded,,1
3.1,nc,ActivityItemAssociationType,nc:ActivityItemAssociationType,nc,Activity,nc:Activity,0,unbounded,,4020
3.1,nc,ActivityItemAssociationType,nc:ActivityItemAssociationType,nc,Item,nc:Item,0,unbounded,,4030
3.1,nc,ActivityItemAssociationType,nc:ActivityItemAssociationType,nc,ActivityItemAssociationAugmentationPoint,nc:ActivityItemAssociationAugmentationPoint,0,unbounded,,9999
3.1,j,ActivityJudgeAssociationType,j:ActivityJudgeAssociationType,nc,Activity,nc:Activity,0,unbounded,,390
3.1,j,ActivityJudgeAssociationType,j:ActivityJudgeAssociationType,j,Judge,j:Judge,0,unbounded,,400
3.1,j,ActivityJudgeAssociationType,j:ActivityJudgeAssociationType,j,ActivityJudgeAssociationAugmentationPoint,j:ActivityJudgeAssociationAugmentationPoint,0,unbounded,,9999
3.1,j,ActivityJurisdictionAssociationType,j:ActivityJurisdictionAssociationType,nc,Activity,nc:Activity,0,unbounded,,410
3.1,j,ActivityJurisdictionAssociationType,j:ActivityJurisdictionAssociationType,nc,Jurisdiction,nc:Jurisdiction,0,unbounded,,420
3.1,j,ActivityJurisdictionAssociationType,j:ActivityJurisdictionAssociationType,j,ActivityJurisdictionAssociationAugmentationPoint,j:ActivityJurisdictionAssociationAugmentationPoint,0,unbounded,,9999
3.1,j,ActivityLocationAssociationType,j:ActivityLocationAssociationType,nc,Activity,nc:Activity,0,unbounded,,430
3.1,j,ActivityLocationAssociationType,j:ActivityLocationAssociationType,nc,Location,nc:Location,0,unbounded,,440
3.1,j,ActivityLocationAssociationType,j:ActivityLocationAssociationType,j,ActivityLocationAssociationAugmentationPoint,j:ActivityLocationAssociationAugmentationPoint,0,unbounded,,9999
3.1,j,ActivityNetworkAddressAssociationType,j:ActivityNetworkAddressAssociationType,j,NetworkAddressID,j:NetworkAddressID,0,unbounded,,10
3.1,j,ActivityNetworkAddressAssociationType,j:ActivityNetworkAddressAssociationType,nc,Activity,nc:Activity,0,unbounded,,10
3.1,j,ActivityNetworkAddressAssociationType,j:ActivityNetworkAddressAssociationType,j,ActivityNetworkAddressAssociationAugmentationPoint,j:ActivityNetworkAddressAssociationAugmentationPoint,0,unbounded,,9999
3.1,j,ActivityObligationAssociationType,j:ActivityObligationAssociationType,nc,Activity,nc:Activity,0,unbounded,,450
3.1,j,ActivityObligationAssociationType,j:ActivityObligationAssociationType,nc,Obligation,nc:Obligation,0,unbounded,,460
3.1,j,ActivityObligationAssociationType,j:ActivityObligationAssociationType,j,ActivityObligationAssociationAugmentationPoint,j:ActivityObligationAssociationAugmentationPoint,0,unbounded,,9999
3.1,nc,ActivityOrganizationAssociationType,nc:ActivityOrganizationAssociationType,nc,Activity,nc:Activity,0,unbounded,,1340
3.1,nc,ActivityOrganizationAssociationType,nc:ActivityOrganizationAssociationType,nc,Organization,nc:Organization,0,unbounded,,1350
3.1,nc,ActivityOrganizationAssociationType,nc:ActivityOrganizationAssociationType,nc,ActivityInvolvement,nc:ActivityInvolvement,0,unbounded,,1360
3.1,nc,ActivityOrganizationAssociationType,nc:ActivityOrganizationAssociationType,nc,ActivityOrganizationAssociationAugmentationPoint,nc:ActivityOrganizationAssociationAugmentationPoint,0,unbounded,,9999
3.1,nc,ActivityPersonAssociationType,nc:ActivityPersonAssociationType,nc,Activity,nc:Activity,0,unbounded,,1320
3.1,nc,ActivityPersonAssociationType,nc:ActivityPersonAssociationType,nc,Person,nc:Person,0,unbounded,,1330
3.1,nc,ActivityPersonAssociationType,nc:ActivityPersonAssociationType,nc,ActivityInvolvement,nc:ActivityInvolvement,0,unbounded,,1340
3.1,nc,ActivityPersonAssociationType,nc:ActivityPersonAssociationType,nc,ActivityPersonAssociationAugmentationPoint,nc:ActivityPersonAssociationAugmentationPoint,0,unbounded,,9999
3.1,scr,ActivityProcessClassificationType,scr:ActivityProcessClassificationType,scr,ActivityProcessDescriptionText,scr:ActivityProcessDescriptionText,0,unbounded,,1540
3.1,scr,ActivityProcessClassificationType,scr:ActivityProcessClassificationType,scr,ActivityProcessCategory,scr:ActivityProcessCategory,0,unbounded,,1550
3.1,scr,ActivityProcessClassificationType,scr:ActivityProcessClassificationType,scr,ActivityProcessClassificationAugmentationPoint,scr:ActivityProcessClassificationAugmentationPoint,0,unbounded,,9999
3.1,j,ActivityProgramAssociationType,j:ActivityProgramAssociationType,nc,Activity,nc:Activity,0,unbounded,,470
3.1,j,ActivityProgramAssociationType,j:ActivityProgramAssociationType,nc,Program,nc:Program,0,unbounded,,480
3.1,j,ActivityProgramAssociationType,j:ActivityProgramAssociationType,j,ActivityProgramAssociationAugmentationPoint,j:ActivityProgramAssociationAugmentationPoint,0,unbounded,,9999
3.1,j,ActivityReferralAssociationType,j:ActivityReferralAssociationType,nc,Activity,nc:Activity,0,unbounded,,490
3.1,j,ActivityReferralAssociationType,j:ActivityReferralAssociationType,nc,Referral,nc:Referral,0,unbounded,,500
3.1,j,ActivityReferralAssociationType,j:ActivityReferralAssociationType,j,ActivityReferralAssociationAugmentationPoint,j:ActivityReferralAssociationAugmentationPoint,0,unbounded,,9999
3.1,j,ActivityReleaseAssociationType,j:ActivityReleaseAssociationType,nc,Activity,nc:Activity,0,unbounded,,510
3.1,j,ActivityReleaseAssociationType,j:ActivityReleaseAssociationType,nc,Release,nc:Release,0,unbounded,,520
3.1,j,ActivityReleaseAssociationType,j:ActivityReleaseAssociationType,nc,Facility,nc:Facility,0,unbounded,,530
3.1,j,ActivityReleaseAssociationType,j:ActivityReleaseAssociationType,nc,Organization,nc:Organization,0,unbounded,,540
3.1,j,ActivityReleaseAssociationType,j:ActivityReleaseAssociationType,j,Subject,j:Subject,0,unbounded,,550
3.1,j,ActivityReleaseAssociationType,j:ActivityReleaseAssociationType,j,ActivityOfficial,j:ActivityOfficial,0,unbounded,,560
3.1,j,ActivityReleaseAssociationType,j:ActivityReleaseAssociationType,j,ActivityReleaseAssociationAugmentationPoint,j:ActivityReleaseAssociationAugmentationPoint,0,unbounded,,9999
3.1,scr,ActivityRequestClassificationType,scr:ActivityRequestClassificationType,scr,ActivityRequestDescriptionText,scr:ActivityRequestDescriptionText,0,unbounded,,1560
3.1,scr,ActivityRequestClassificationType,scr:ActivityRequestClassificationType,scr,ActivityRequestCategory,scr:ActivityRequestCategory,0,unbounded,,1570
3.1,scr,ActivityRequestClassificationType,scr:ActivityRequestClassificationType,scr,ActivityRequestClassificationAugmentationPoint,scr:ActivityRequestClassificationAugmentationPoint,0,unbounded,,9999
3.1,scr,ActivityResponseClassificationType,scr:ActivityResponseClassificationType,scr,ActivityResponseDescriptionText,scr:ActivityResponseDescriptionText,0,unbounded,,1580
3.1,scr,ActivityResponseClassificationType,scr:ActivityResponseClassificationType,scr,ActivityResponseCategory,scr:ActivityResponseCategory,0,unbounded,,1590
3.1,scr,ActivityResponseClassificationType,scr:ActivityResponseClassificationType,scr,ActivityResponseClassificationAugmentationPoint,scr:ActivityResponseClassificationAugmentationPoint,0,unbounded,,9999
3.1,scr,ActivityResultsClassificationType,scr:ActivityResultsClassificationType,scr,ActivityResultsDescriptionText,scr:ActivityResultsDescriptionText,0,unbounded,,1600
3.1,scr,ActivityResultsClassificationType,scr:ActivityResultsClassificationType,scr,ActivityResultsCategory,scr:ActivityResultsCategory,0,unbounded,,1610
3.1,scr,ActivityResultsClassificationType,scr:ActivityResultsClassificationType,scr,ActivityResultsClassificationAugmentationPoint,scr:ActivityResultsClassificationAugmentationPoint,0,unbounded,,9999
3.1,j,ActivitySanctionAssociationType,j:ActivitySanctionAssociationType,nc,Activity,nc:Activity,0,unbounded,,570
3.1,j,ActivitySanctionAssociationType,j:ActivitySanctionAssociationType,j,Sanction,j:Sanction,0,unbounded,,580
3.1,j,ActivitySanctionAssociationType,j:ActivitySanctionAssociationType,j,ActivitySanctionAssociationAugmentationPoint,j:ActivitySanctionAssociationAugmentationPoint,0,unbounded,,9999
3.1,nc,ActivityScheduleAssociationType,nc:ActivityScheduleAssociationType,nc,Activity,nc:Activity,0,unbounded,,10
3.1,nc,ActivityScheduleAssociationType,nc:ActivityScheduleAssociationType,nc,ScheduleDay,nc:ScheduleDay,0,unbounded,,20
3.1,nc,ActivityScheduleAssociationType,nc:ActivityScheduleAssociationType,nc,ActivityScheduleAssociationAugmentationPoint,nc:ActivityScheduleAssociationAugmentationPoint,0,unbounded,,9999
3.1,j,ActivitySentenceComputationAssociationType,j:ActivitySentenceComputationAssociationType,j,SentenceComputation,j:SentenceComputation,0,unbounded,,10
3.1,j,ActivitySentenceComputationAssociationType,j:ActivitySentenceComputationAssociationType,nc,Activity,nc:Activity,0,unbounded,,10
3.1,j,ActivitySentenceComputationAssociationType,j:ActivitySentenceComputationAssociationType,j,ActivitySentenceComputationAssociationAugmentationPoint,j:ActivitySentenceComputationAssociationAugmentationPoint,0,unbounded,,9999
3.1,j,ActivityServiceCallAssociationType,j:ActivityServiceCallAssociationType,nc,Activity,nc:Activity,0,unbounded,,590
3.1,j,ActivityServiceCallAssociationType,j:ActivityServiceCallAssociationType,j,ServiceCall,j:ServiceCall,0,unbounded,,600
3.1,j,ActivityServiceCallAssociationType,j:ActivityServiceCallAssociationType,j,ActivityServiceCallAssociationAugmentationPoint,j:ActivityServiceCallAssociationAugmentationPoint,0,unbounded,,9999
3.1,nc,ActivitySiteAssociationType,nc:ActivitySiteAssociationType,nc,Site,nc:Site,0,unbounded,,10
3.1,nc,ActivitySiteAssociationType,nc:ActivitySiteAssociationType,nc,Activity,nc:Activity,0,unbounded,,10
3.1,nc,ActivitySiteAssociationType,nc:ActivitySiteAssociationType,nc,ActivitySiteAssociationAugmentationPoint,nc:ActivitySiteAssociationAugmentationPoint,0,unbounded,,9999
3.1,j,ActivitySubjectAssociationType,j:ActivitySubjectAssociationType,nc,Activity,nc:Activity,0,unbounded,,610
3.1,j,ActivitySubjectAssociationType,j:ActivitySubjectAssociationType,j,Subject,j:Subject,0,unbounded,,620
3.1,j,ActivitySubjectAssociationType,j:ActivitySubjectAssociationType,j,ActivitySubjectAssociationAugmentationPoint,j:ActivitySubjectAssociationAugmentationPoint,0,unbounded,,9999
3.1,j,ActivityTelephoneNumberAssociationType,j:ActivityTelephoneNumberAssociationType,nc,TelephoneNumber,nc:TelephoneNumber,0,unbounded,,10
3.1,j,ActivityTelephoneNumberAssociationType,j:ActivityTelephoneNumberAssociationType,nc,Activity,nc:Activity,0,unbounded,,10
3.1,j,ActivityTelephoneNumberAssociationType,j:ActivityTelephoneNumberAssociationType,j,ActivityTelephoneNumberAssociationAugmentationPoint,j:ActivityTelephoneNumberAssociationAugmentationPoint,0,unbounded,,9999
3.1,nc,ActivityType,nc:ActivityType,nc,ActivityIdentification,nc:ActivityIdentification,0,unbounded,,10
3.1,nc,ActivityType,nc:ActivityType,nc,ActivityCategoryText,nc:ActivityCategoryText,0,unbounded,,20
3.1,nc,ActivityType,nc:ActivityType,nc,ActivityDateRepresentation,nc:ActivityDateRepresentation,0,unbounded,,25
3.1,nc,ActivityType,nc:ActivityType,nc,ActivityDescriptionText,nc:ActivityDescriptionText,0,unbounded,,30
3.1,nc,ActivityType,nc:ActivityType,nc,ActivityName,nc:ActivityName,0,unbounded,,35
3.1,nc,ActivityType,nc:ActivityType,nc,ActivityStatus,nc:ActivityStatus,0,unbounded,,80
3.1,nc,ActivityType,nc:ActivityType,nc,ActivityReasonText,nc:ActivityReasonText,0,unbounded,,90
3.1,nc,ActivityType,nc:ActivityType,nc,ActivityDisposition,nc:ActivityDisposition,0,unbounded,,150
3.1,nc,ActivityType,nc:ActivityType,nc,ActivityAugmentationPoint,nc:ActivityAugmentationPoint,0,unbounded,,9999
3.1,j,ActivityUnitAssociationType,j:ActivityUnitAssociationType,nc,Activity,nc:Activity,0,unbounded,,630
3.1,j,ActivityUnitAssociationType,j:ActivityUnitAssociationType,j,EnforcementOfficialUnit,j:EnforcementOfficialUnit,0,unbounded,,640
3.1,j,ActivityUnitAssociationType,j:ActivityUnitAssociationType,j,ActivityUnitAssociationAugmentationPoint,j:ActivityUnitAssociationAugmentationPoint,0,unbounded,,9999
3.1,j,ActivityVictimAssociationType,j:ActivityVictimAssociationType,nc,Activity,nc:Activity,0,unbounded,,650
3.1,j,ActivityVictimAssociationType,j:ActivityVictimAssociationType,j,Victim,j:Victim,0,unbounded,,660
3.1,j,ActivityVictimAssociationType,j:ActivityVictimAssociationType,j,ActivityVictimAssociationAugmentationPoint,j:ActivityVictimAssociationAugmentationPoint,0,unbounded,,9999
3.1,j,ActivityWarrantAssociationType,j:ActivityWarrantAssociationType,nc,Activity,nc:Activity,0,unbounded,,670
3.1,j,ActivityWarrantAssociationType,j:ActivityWarrantAssociationType,j,Warrant,j:Warrant,0,unbounded,,680
3.1,j,ActivityWarrantAssociationType,j:ActivityWarrantAssociationType,j,Subject,j:Subject,0,unbounded,,690
3.1,j,ActivityWarrantAssociationType,j:ActivityWarrantAssociationType,j,ActivityWarrantAssociationAugmentationPoint,j:ActivityWarrantAssociationAugmentationPoint,0,unbounded,,9999
3.1,j,ActivityWitnessAssociationType,j:ActivityWitnessAssociationType,nc,Activity,nc:Activity,0,unbounded,,700
3.1,j,ActivityWitnessAssociationType,j:ActivityWitnessAssociationType,j,Witness,j:Witness,0,unbounded,,710
3.1,j,ActivityWitnessAssociationType,j:ActivityWitnessAssociationType,j,ActivityWitnessAssociationAugmentationPoint,j:ActivityWitnessAssociationAugmentationPoint,0,unbounded,,9999
3.1,it,AdditionalDocumentType,it:AdditionalDocumentType,it,AdditionalDocumentName,it:AdditionalDocumentName,0,unbounded,,1
