Release,NamespacePrefix,GlossaryTerm,GlossaryLiteral,GlossaryDefinition
4.2,it,CHAI,HMRC Charity application form,
4.2,it,EMS,Emergency Medical Service,
4.2,it,HTS,Harmonized Tariff Schedule,
4.2,it,IATA,International Air Transport Association,
4.2,it,IMO,International Maritime Organization,
4.2,it,INCOTERMS,International Commercial Terms,
4.2,it,ISO,International Organization for Standardization,
4.2,it,MFA,Multi Fibre Arrangement,
4.2,it,NTN,National Training Numbers,
4.2,it,SCAC,Standard Carrier Alpha Code,
4.2,it,UCR,Unique Customs Reference,
4.2,it,UNDG,United Nations Development Group,
4.2,it,VIR,Vehicle Inspection Report,
4.2,it,WCO,World Customs Organization,
4.2,itcodes,ISO,International Organization for Standardization,
4.2,itcodes,UNECE,United Nations Economic Commission for Europe,
4.2,j,AAMVA,The American Association of Motor Vehicle Administrators,
4.2,j,ACD,AAMVA Code Dictionary,
4.2,j,AFIS,Automated Fingerprint Identification System,
4.2,j,Alpha,,Letter(s)
4.2,j,Amber,America's Missing: Broadcast Emergency Response,
4.2,j,ANSID20,"The Data Dictionary for Traffic Record Systems, maintained by AAMVA, the American Association of Motor Vehicle Administrators",
4.2,j,APCO,"Association of Public-Safety Communications Officials (APCO) - International, Inc.",
4.2,j,BOP,Bureau of Prisons,
4.2,j,BPH,Board of Parole Hearings,
4.2,j,Brady,Brady Law,
4.2,j,CDL,Commercial Driver's License,
4.2,j,CHRI,Criminal History Record Information,
4.2,j,CJIS,Criminal Justice Information System,
4.2,j,CMV,Commercial Motor Vehicle,
4.2,j,CODIS,Combined DNA Index System,
4.2,j,COMPAS,Correctional Offender Management Profiling for Alternative Sanctions,
4.2,j,DEA,Drug Enforcement Administration,
4.2,j,DHS,Department of Homeland Security,
4.2,j,DMH,Department of Mental Health,
4.2,j,DNA,Deoxyribonucleic acid,
4.2,j,DOT,Department of Transportation,
4.2,j,EMS,Emergency Medical Service,
4.2,j,FBI,Federal Bureau of Investigation,
4.2,j,FCN,file control number,
4.2,j,FFLID,federal firearms license,
4.2,j,FIPS,Federal Information Processing Standards,
4.2,j,GDEP,Geographic-Drug Enforcement Program,
4.2,j,GVWR,gross vehicle weight rating,
4.2,j,HazMat,Hazardous Materials,
4.2,j,HME,Hazardous Material Endorsement,
4.2,j,HRSO,high risk sex offender,
4.2,j,IAFIS,Integrated Automated Fingerprint Identification System,
4.2,j,IBIS,Integrated Ballistic Identification System,
4.2,j,ICC,Interstate Commerce Commission,
4.2,j,ISBN,International Standard Book Number,
4.2,j,ISSN,International Standard Serial Number,
4.2,j,JABS,JABS,Joint Automated Booking System
4.2,j,LEOKA,Law Enforcement Officer Killed or Assaulted,
4.2,j,LIS,License Plate State,
4.2,j,LSTA,,State/Country Index
4.2,j,MACR,Monthly Arrest and Citation Register,
4.2,j,MCMIS,Motor Carrier Management Information System,
4.2,j,MCO,Manufacturer's certificate of origin,
4.2,j,MCSIP,Motor Carrier Safety Improvement Process,
4.2,j,MDO,mentally disordered offender,
4.2,j,MHSDS,Mental Health Services Delivery System,
4.2,j,MMUCC,Model Minimum Uniform Crash Criteria,
4.2,j,MO,Modus Operandi,
4.2,j,Multi,Multiple,
4.2,j,NCIC,National Crime Information Center,
4.2,j,NCMEC,National Center for Missing & Exploited Children,
4.2,j,NDEx,National Data Exchange,
4.2,j,NDEX,National Data Exchange,
4.2,j,NIBRS,National Incident Based Reporting System,
4.2,j,NICB,National Insurance Crime Bureau,
4.2,j,NLETS,National Law Enforcement Telecommunication Systems,
4.2,j,OCA,Originating Case Agency,
4.2,j,ORI,,"A nine-character identifier assigned by the FBI Criminal Justice Information Systems (CJIS) staff to an organization, which must have met the established qualifying criteria for ORI assignment to identify the agency in transactions on CJIS Systems."
4.2,j,POST,Peace Official Standards and Training,
4.2,j,PRISM,Performance and Registration Information Systems Management,
4.2,j,REALID,,"Public Law 109–13, 119 Statute 302, enacted May 11, 2005, was an Act of Congress that modified U.S. federal law pertaining to security, authentication, and issuance procedures standards for the state driver's licenses and identification (ID) cards, as well as various immigration issues pertaining to terrorism."
4.2,j,RES,Registration State,
4.2,j,SAFESTAT,Safety Status Measurement System,
4.2,j,SMT,"Scars, Marks, Tattoos, and Other Characteristics",
4.2,j,TCD,traffic control device,
4.2,j,TCN,Transaction Control Number,
4.2,j,TripleI,III - Interstate Identification Index system,
4.2,j,TYP,(Firearm) Type,
4.2,j,TYPA,(Article) Type,
4.2,j,TYPO,(ORI) Type,
4.2,j,UCR,Uniform Crime Reporting,
4.2,j,USDOT,United States Department of Transportation,
4.2,j,USMS,United States Marshal Service,
4.2,j,VICAP,Violent Criminal Apprehension Program,
4.2,j,VIN,Vehicle Identification Number,
4.2,j,VINA,Vehicle Identification Number Analysis,
4.2,j,XRay,X-Ray,
4.2,j,XRays,X-Rays,
4.2,m,Alpha2,,Two-letter
4.2,m,Alpha3,,Three-letter
4.2,m,APR,April,
4.2,m,BE,Basic Encyclopedia,
4.2,m,CANUS,Canada/USA,
4.2,m,CANUSLexiconAPR07,April 2007 Canada/USA Bi-National Vessel of Interest (VOI) Lexicon,
4.2,m,CDC,Certain Dangerous Cargo,
4.2,m,COTP,Captain of the Port,
4.2,m,CVSSA,Cruise Vessel Security and Safety Act,
4.2,m,DOC,Document of Compliance,
4.2,m,FIPS,Federal Information Processing Standards,
4.2,m,Helo,helicopter,
4.2,m,HIN,Hull Identification Number,
4.2,m,IMO,International Maritime Organization,
4.2,m,IRCS,International Registered Call Sign,
4.2,m,ISM,International Safety Management,
4.2,m,ISO,International Organization for Standardization,
4.2,m,ISPS,International Ship and Port Facility Security,
4.2,m,ISSC,International Ship Security Certificate,
4.2,m,MMSI,Maritime Mobile Service Identity,
4.2,m,SCONUM,Ship Control Number,
4.2,m,TRDM,US Transportation Command (USTRANSCOM) Reference Data Model (TRDM),
4.2,m,UN,United Nations,
4.2,m,UNECE,United Nations Economic Commission for Europe,
4.2,m,UNLOCODE,United Nations Code for Trade and Transport Locations,
4.2,m,USMTF,United States Message Text Format,
4.2,mmucc,HazMat,Hazardous Materials,
4.2,mmucc,NA,Not applicable,
4.2,mmucc,NR,Not reported,
4.2,mmucc,Trafficway,,A highway or roadway open to traffic.
4.2,mo,DSN,Defense Switched Network,
4.2,mo,MGRS,Military Grid Reference System,
4.2,mo,MILSTD2525-B,Military Standard 2525 B (MIL-STD-2525B),
4.2,mo,MILSTD2525-C,Military Standard 2525 C (MIL-STD-2525C),
4.2,mo,MILSTD2525-D,Military Standard 2525 D (MIL-STD-2525D),
4.2,mo,OPEX,Operation Exercise,
4.2,mo,SIDC,Symbol Identification Code,
4.2,mo,STANAG,Standardization Agreement,
4.2,mo,UIC,Unit Identification Code,
4.2,mo,URN,Unit Reference Number,
4.2,mo,UTM,Univeral Transvere Mercator,
4.2,mo,UUID,Universally unique identifier,
4.2,mo,WGS84,World Geodetic System 84,
4.2,nc,2D,Two-dimensional,
4.2,nc,3D,Three-dimensional,
4.2,nc,Alpha2,,Two-letter
4.2,nc,Alpha3,,Three-letter
4.2,nc,CMV,Commercial Motor Vehicle,
4.2,nc,DEA,Drug Enforcement Administration,
4.2,nc,ESN,electronic serial number,
4.2,nc,FIPS,Federal Information Processing Standards,
4.2,nc,GENC,"Geopolitical Entities, Names, and Codes",
4.2,nc,GSM,Global System for Mobile communication,
4.2,nc,IMEI,International Mobile Equipment Identity,
4.2,nc,ISO,International Organization for Standardization,
4.2,nc,MAC,media access control address,
4.2,nc,NANP,North American Numbering Plan,
4.2,nc,SSN,Social Security Number,
4.2,nc,UMTS,Universal Mobile Telecommunications Service,
4.2,nc,UTC,Coordinated Universal Time,
4.2,nc,UTM,Universal Transverse Mercator,
4.2,nc-4.0.2,GENC,"Geopolitical Entities, Names, and Codes",
4.2,ncic,BCO,Boat Color,
4.2,ncic,BLT,Blood Type,
4.2,ncic,BMA,Boat Make,
4.2,ncic,BPS,Body Parts Status,
4.2,ncic,BRA,Boat Brand Name,
4.2,ncic,BTMA,Vehicle Make for Boat Trailer,
4.2,ncic,BTY,Boat Type,
4.2,ncic,BXR,Body X-Rays Available,
4.2,ncic,CAL,(Firearm) Caliber,
4.2,ncic,CAT,(Vehicle/Boat Part) Category,
4.2,ncic,CDA,Manner and Cause of Death,
4.2,ncic,CMC,Caution and Medical Conditions,
4.2,ncic,COL,(Physical Feature) Color,
4.2,ncic,CRC,Circumcision,
4.2,ncic,CTZ,Citizenship,
4.2,ncic,DCH,Dental Characteristics,
4.2,ncic,DEN,Denomination,
4.2,ncic,ECR,(Threat Group Member) Criteria for Entry,
4.2,ncic,EPD,(Boat) Engine Power or Displacement,
4.2,ncic,ETN,Ethnicity,
4.2,ncic,EXL,Extradition Limitation,
4.2,ncic,EYE,Eye Color,
4.2,ncic,FILE,FILE fields,
4.2,ncic,FPC,Fingerprint Classification,
4.2,ncic,HAI,Hair Color,
4.2,ncic,HSP,(Boat) Hull Shape,
4.2,ncic,HUL,(Boat) Outer Hull Material,
4.2,ncic,IDT,Identity Theft Type,
4.2,ncic,IFS,Identification for Firearm Sales,
4.2,ncic,IMT,Image Type,
4.2,ncic,JWT,Jewelry Type,
4.2,ncic,LIS,License Plate State,
4.2,ncic,LIT,License Plate Number,
4.2,ncic,LSTA,State/Country Index,
4.2,ncic,MAK,(Firearm) Make,
4.2,ncic,MNP,Missing Person,
4.2,ncic,MNU,(person identifier) Miscellaneous Number,
4.2,ncic,MPC,Missing Person Circumstances,
4.2,ncic,OFF,Offense Code,
4.2,ncic,OLS,Operator License State,
4.2,ncic,ORI,,"A nine-character identifier assigned by the FBI Criminal Justice Information Systems (CJIS) staff to an organization, which must have met the established qualifying criteria for ORI assignment to identify the agency in transactions on CJIS Systems."
4.2,ncic,PCC,Physical Feature Class,
4.2,ncic,PCO,Protection Order Condition,
4.2,ncic,PCS,(Fingerprint) Pattern Code Source,
4.2,ncic,POB,Place of Birth,
4.2,ncic,PRO,(Boat) Propulsion,
4.2,ncic,PSC,Physical Feature Sub Class,
4.2,ncic,RAC,Race,
4.2,ncic,RES,Registration State,
4.2,ncic,RMI,Ransom Money Indicator,
4.2,ncic,SDT,Security Date or Series Year,
4.2,ncic,SEX,Gender,
4.2,ncic,SKN,Skin Tone,
4.2,ncic,SMT,"Scars, Marks, Tattoos, and Other Characteristics",
4.2,ncic,TYP,(Firearm) Type,
4.2,ncic,TYPA,Article Type,
4.2,ncic,TYPO,ORI Type,
4.2,ncic,TYPS,(Securities) Type,
4.2,ncic,VCO,Vehicle Color,
4.2,ncic,VMA,Vehicle Make,
4.2,ncic,VMO,Vehicle Model,
4.2,ncic,VST,Vehicle Style,
4.2,ndex,CAD,Computer Aided Dispatch,
4.2,ndex,CAL,(Firearm) Caliber,
4.2,ndex,E911,Emergency 911,
4.2,ndex,JABS,Joint Automated Booking System,
4.2,ndex,LEOKA,Law Enforcement Officer Killed or Assaulted,
4.2,ndex,MO,Modus Operandi,
4.2,ndex,NDEx,National Data Exchange,
4.2,ndex,NIBRS,National Incident Based Reporting System,
4.2,ndex,RAC,Race,
4.2,ndex,SEX,,The gender or sex of a person.
4.2,ndex,VST,Vehicle Style,
4.2,scr,ASA,Army Security Agency,
4.2,scr,EFTS,Electronic Fingerprint Transmission Specification,
4.2,scr,IATA,International Air Transport Association,
4.2,scr,INS,Immigration and Naturalization Service,
4.2,scr,LPR,License Plate Reader,
4.2,scr,NCIC,National Crime Information Center,
4.2,scr,TECS,Traveler Encounter Compliance System,
4.2,st,AADT,Annual average daily traffic,
4.2,ucr,LEOKA,Law Enforcement Officer Killed or Assaulted,
