Release,NamespacePrefix,NamespaceFile,VersionURI,VersionReleaseNumber,NamespaceStyle,NamespaceIsExternallyGenerated,IsConformant,Definition
5.2,nces,nces,http://release.niem.gov/niem/codes/nces/5.0/,5,E,0,1,National Center for Education Statistics
5.2,ncic,ncic,http://release.niem.gov/niem/codes/ncic/5.2/,5.2,E,0,1,FBI National Crime and Information Center (NCIC) codes
5.2,ndex,ndex,http://release.niem.gov/niem/codes/ndex/5.0/,5,E,0,1,FBI National Data Exchange (N-DEx) Specification codes
5.2,nga,nga,http://release.niem.gov/niem/codes/nga/5.0/,5,E,0,1,National Geospatial-Intelligence Agency (NGA) Temporal Spatial Positioning Information (TSPI)
5.2,niem-xs,niem-xs,http://release.niem.gov/niem/proxy/niem-xs/5.0/,5,P,0,1,Proxy types that carry dictionary metadata and have XML data type simple contents.
5.2,nlets,nlets,http://release.niem.gov/niem/codes/nlets/5.0/,5,E,0,1,The International Justice & Public Safety Information Sharing Network (NLETS) User and Technical Guide
5.2,occs,occs,http://release.niem.gov/niem/codes/occs/5.0/,5,E,0,1,Construction Specifications Institute (CSI) OmniClass Table 11: Construction Entities by Function
5.2,opm,opm,http://release.niem.gov/niem/codes/opm/5.0/,5,E,0,1,US Office of Personnel Management (OPM)
5.2,sar,sar,http://release.niem.gov/niem/codes/pmise_sar/5.0/,5,E,0,1,Program Manager for the Information Sharing Environment (PM-ISE) Suspicious Activity Reporting (SAR)
5.2,scr,screening,http://release.niem.gov/niem/domains/screening/5.2/,5.2,D,0,1,The People Screening domain provides harmonized information sharing content within the Screening Portfolio of DHS.  The Screening namespace is initially being populated with person screening information for immigrant and non-immigrant person types who have been encountered and identified by the Screening Portfolio Components.  Screening expands on encounter-related NIEM elements currently included in the Immigration and Intelligence domains.
5.2,st,st,http://release.niem.gov/niem/domains/surfaceTransportation/5.0/,5,D,0,1,Surface Transportation
5.2,stat,statistics,http://release.niem.gov/niem/auxiliary/statistics/5.0/,5,AUX,0,1,Statistics
5.2,stix,stix,http://release.niem.gov/niem/codes/stix/5.1/,5.1,E,0,1,Structured Threat Information Expression (STIX) codes
5.2,structures,structures,http://release.niem.gov/niem/structures/5.0/,5,S,1,1,Schema constructs for use by NIEM-conformant schemas to provide consistent definitions and functionality.
5.2,ucr,ucr,http://release.niem.gov/niem/codes/ucr/5.1/,5.1,E,0,1,FBI Uniform Crime Reporting (UCR) codes
5.2,unece,unece_rec20,http://release.niem.gov/niem/codes/unece_rec20/5.0/,5,E,0,1,"United Nations Economic Commission for Europe (UNECE), United Nations Centre for Trade Facilitation and Electronic Business (UN/CEFACT) measure codes"
5.2,usda_fsa,usda_fsa,http://release.niem.gov/niem/codes/usda_fsa/5.0/,5,E,0,1,United Stated Department of Agriculture (USDA) Farm Service Agency (FSA)
5.2,usmtf,mo-usmtf,http://release.niem.gov/niem/domains/usmtf/5.2/,5.2,D,0,1,Military Operations subdomain based on United States Message Text Format (USMTF)
5.2,usps,usps,http://release.niem.gov/niem/codes/usps/5.0/,5,E,0,1,United States Postal Service (USPS) Publication 28 - Postal Addressing Standards
5.2,xCard,xCard,http://release.niem.gov/niem/codes/xCard/5.0/,5,E,0,1,"vCard XML representation, IETF RFC 6351"
5.2,xhtml,,http://www.w3.org/1999/xhtml,1,S,1,1,"The Extensible HyperText Markup Language, a family of current and future document types and modules that reproduce, subset, and extend HTML 4."
5.2,xlink,,,1.0.0,N,1,0,"GML 3.0 candidate xlinks schema. Copyright (c) 2001 OGC, All Rights Reserved."
5.2,xls,,,1.1.0,N,1,0,"A profile of OpenGeospatialConsortium (OpenGIS, OGC) OpenLS (Location Services) version 1.1 schemas. A profile of OpenGeospatialConsortium (OpenGIS, OGC) OpenLS (Location Services) version 1.1 schemas that have been edited to use GML version 3.2.1 schemas instead of the GML version 3.0 schemas that were current when OpenLS version 1.1 was promulgated.  See http://www.opengeospatial.org for documentation, http://schemas.opengis.net/ols/ for schemas."
5.2,xml,,,1,E,1,1,The XML Namespace
5.2,xs,,http://www.w3.org/2001/XMLSchema,1,S,1,1,"The XML Schema definition language, which offers facilities for describing the structure and constraining the contents of XML documents."
